gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
b1227	1285849	1286526	1	gene		1285849	0	P11350					5809958.571344681	40908921629.40467
b4425	1287066	1287236	-1	gene		1287066	0						5809958.571344681	40914731587.97601
b1229	1287087	1287176	-1	gene		1287236	1	P02338					5809958.571344681	40920541546.547356
b1230	1287244	1287328	-1	gene		1287244	0						5809958.571344681	40926351505.1187
b1231	1287538	1287622	-1	gene		1287538	0						5809958.571344681	40932161463.69004
PM00666	1287623	1287665	-1	promoter	[b1229, b1230, b1231]	1287623	0						0.0	40932161463.69004
b1232	1287782	1288624	-1	gene		1287782	0	P37051	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1	purU	31896.52381	1735.4412823413595	55354544.183058105	40987516007.8731
b1233	1288674	1289132	-1	gene		1288674	0	P37052	UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2	ychJ	16960.9477	6.391784916973136	108410.7296864302	40987624418.60278
PM0-8749	1289106	1289244	1	promoter	[b1235, b1234]	1289132	0						0.0	40987624418.60278
PM0-10027	1289133	1289177	-1	promoter	[b1233]	1289244	1						0.0	40987624418.60278
b1234	1289245	1290150	1	gene		1289245	0	P0AFR0					5809958.571344681	40993434377.174126
PM0-8746	1290220	1290241	1	promoter	[b1235]	1290220	0						0.0	40993434377.174126
b1235	1290242	1291255	1	gene		1290242	0						5809958.571344681	40999244335.74547
PM0-7781	1291405	1291456	1	promoter	[b1236]	1291405	0						0.0	40999244335.74547
b1236	1291457	1292365	1	gene		1291457	0	P0AEP3	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2	galU	32902.99162	2233.0070189189732	73472611.23089217	41072716946.97636
b1237	1292509	1292922	-1	gene		1292509	0	P0ACF8	DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2	hns	15512.02414	20993.527419383816	325652104.1132336	41398369051.08959
PM00191	1292923	1292958	-1	promoter	[b1237]	1292923	0						0.0	41398369051.08959
b1238	1293527	1294144	1	gene		1293527	0	P23331	Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1	tdk	23423.6654	112.29442939691616	2630347.140477288	41400999398.23007
b4573	1294426	1295322	-1	gene		1294426	0						5809958.571344681	41406809356.801414
b1241	1295446	1298121	-1	gene		1295446	0	P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	adhE	96048.64958	2852.6614171109763	273994276.82247835	41680803633.62389
PM00279	1298122	1298413	-1	promoter	[b1241]	1298122	0						0.0	41680803633.62389
b1242	1298598	1299245	1	gene		1298598	0	P25743					5809958.571344681	41686613592.19524
PM00306	1301085	1301181	1	promoter	[b1243, b1244, b1245, b1246, b1247]	1301085	0						0.0	41686613592.19524
b1243	1301182	1302813	1	gene		1301182	0	P23843	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	oppA	60842.91364	20761.12054947507	1263167064.661341	42949780656.856575
b1244	1302899	1303819	1	gene		1302899	0	P0AFH2	Oligopeptide transport system permease protein oppB OS=Escherichia coli (strain K12) GN=oppB PE=1 SV=1	oppB	33403.19892	174.14406401688154	5816968.811093109	42955597625.66767
b1245	1303834	1304742	1	gene		1303834	0	P0AFH6	Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1	oppC	32982.33712	447.17825050820335	14748983.810993373	42970346609.47867
b1246	1304754	1305767	1	gene		1304754	0	P76027	Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2	oppD	37145.94441	493.5471616627815	18333275.43083896	42988679884.90951
b1247	1305764	1306768	1	gene		1305767	0	P77737	Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1	oppF	37155.62253	262.9369837782286	9769587.318440594	42998449472.22795
b1248	1306821	1307150	-1	gene		1306821	0	P0A8L7					5809958.571344681	43004259430.79929
b1249	1307185	1308645	-1	gene		1307185	0	P0A6H8	Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1	cls	54768.54586	6.537991075687007	358076.26406103454	43004617507.063354
PM1023	1308646	1308673	-1	promoter	[b1248, b1249]	1308646	0						0.0	43004617507.063354
b4595	1308788	1308961	1	gene		1308788	0	A5A613					5809958.571344681	43010427465.6347
b1250	1309016	1310269	-1	gene		1309016	0	P31069	Putative potassium channel protein OS=Escherichia coli (strain K12) GN=kch PE=1 SV=1	kch	46015.20671	21.90883270073118	1008139.4654989527	43011435605.1002
b1251	1310569	1310865	-1	gene		1310569	0	P0AB55	Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1	yciI	10577.40472	1046.6283599154958	11070611.754256025	43022506216.854454
PM0-10028	1310866	1310892	-1	promoter	[b1251]	1310866	0						0.0	43022506216.854454
PM00229	1311054	1311088	1	promoter	[b1252]	1311054	0						0.0	43022506216.854454
b1252	1311089	1311808	1	gene		1311089	0	P02929	Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2	tonB	26059.99904	120.21715543540228	3132858.955238114	43025639075.80969
b1253	1311848	1312246	-1	gene		1311848	0	P0A8Z0	Acyl-CoA thioester hydrolase YciA OS=Escherichia coli (strain K12) GN=yciA PE=3 SV=1	yciA	14203.3308	157.80983629297904	2241425.308363027	43027880501.11806
b1254	1312351	1312890	-1	gene		1312351	0	P0A710					5809958.571344681	43033690459.6894
b1255	1312920	1313663	-1	gene		1312920	0	P21365					5809958.571344681	43039500418.26074
PM0-36156	1313664	1313698	-1	promoter	[b1255, b1254]	1313664	0						0.0	43039500418.26074
PM0-9249	1313991	1314019	1	promoter	[b1256]	1313991	0						0.0	43039500418.26074
b1256	1314020	1314658	1	gene		1314020	0	P0A915	Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1	ompW	22895.28127	9.644920143706464	220823.15951684833	43039721241.42026
b1257	1314718	1315224	-1	gene		1314718	0	P21363	Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1	yciE	18931.47424	2.111892919017111	39981.24639401084	43039761222.66665
PM0-36155	1315225	1315396	-1	promoter	[b1257]	1315225	0						0.0	43039761222.66665
b1258	1315270	1315770	-1	gene		1315396	0	P21362	Protein yciF OS=Escherichia coli (strain K12) GN=yciF PE=1 SV=1	yciF	18567.66099	15.660476200230116	290778.4130278362	43040052001.07967
b1259	1315856	1316035	-1	gene		1315856	0	P21361					5809958.571344681	43045861959.65102
PM0-9320	1316036	1316092	-1	promoter	[b1257, b1258, b1259]	1316036	0						0.0	43045861959.65102
b1260	1316416	1317222	-1	gene		1316416	0	P0A877	Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1	trpA	28688.02998	4478.874320227512	128490080.77533898	43174352040.42635
b1261	1317222	1318415	-1	gene		1317222	0	P0A879	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	trpB	42937.58854	3473.4427081332933	149141253.81909063	43323493294.245445
b1262	1318427	1319788	-1	gene		1318427	0	P00909	Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3	trpC	49312.34103	620.1346614036902	30580291.90766235	43354073586.15311
PM00368	1319789	1319944	-1	promoter	[b1260, b1261, b1262]	1319789	0						0.0	43354073586.15311
b1263	1319789	1321384	-1	gene		1319944	0	P00904	Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3	trpD	56816.25068	630.1340782639327	35801855.75265434	43389875441.90576
b1264	1321384	1322946	-1	gene		1321384	0	P00895	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	trpE	57440.09143	581.2209597281717	33385385.06781853	43423260826.97358
b1265	1323038	1323082	-1	gene		1323038	0	P0AD92					5809958.571344681	43429070785.54492
PM00094	1323083	1323108	-1	promoter	[b1260, b1261, b1262, b1263, b1264, b1265]	1323083	0						0.0	43429070785.54492
PM0-10029	1323188	1323219	1	promoter	[b1268, b1267, b1266]	1323188	0						0.0	43429070785.54492
b1266	1323220	1324101	1	gene		1323220	0	P77766					5809958.571344681	43434880744.116264
b1267	1324098	1324718	1	gene		1324101	0	P0AFR4	Uncharacterized protein yciO OS=Escherichia coli (strain K12) GN=yciO PE=1 SV=1	yciO	23178.95771	519.502963978671	12041537.232281268	43446922281.34855
b1268	1324746	1326641	1	gene		1324746	0	P45848					5809958.571344681	43452732239.91989
b1269	1326852	1327727	1	gene		1326852	0	P37765	Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2	rluB	32673.39599	112.26047187493786	3667930.8515941026	43456400170.771484
b1270	1327767	1328357	-1	gene		1327767	0	P0A9H5	Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1	btuR	21967.13764	214.67817639979367	4715865.049278467	43461116035.82076
b1271	1328354	1329112	-1	gene		1328357	0	P31808	Uncharacterized oxidoreductase yciK OS=Escherichia coli (strain K12) GN=yciK PE=1 SV=3	yciK	27897.0141	166.5524044667842	4646314.775798782	43465762350.59656
PM0-1121	1329284	1329331	1	promoter	[b1272]	1329284	0						0.0	43465762350.59656
b1272	1329332	1330381	1	gene		1329332	0	P0AG14	Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1	sohB	39323.69358	448.8098123348435	17648859.53595269	43483411210.13251
b1273	1330417	1330668	-1	gene		1330417	0	P0AB61	Protein yciN OS=Escherichia coli (strain K12) GN=yciN PE=1 SV=1	yciN	9361.79711	519.9230583789898	4867414.185354788	43488278624.31786
PM00551	1330789	1331047	1	promoter	[b1274]	1330789	0						0.0	43488278624.31786
b1274	1331048	1333645	1	gene		1331048	0	P06612	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	topA	97270.30707	245.51343273101608	23881166.99155572	43512159791.30942
PM00106	1333788	1333854	1	promoter	[b1275]	1333788	0						0.0	43512159791.30942
b1275	1333855	1334829	1	gene		1333855	0	P0A9F3	HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1	cysB	36109.85116	482.3139832724308	17416286.148354206	43529576077.45777
PM0-46351	1335090	1335123	1	promoter	[b4523, b4522]	1335090	0						0.0	43529576077.45777
b4522	1335124	1335288	1	gene		1335124	0	P0CB62					5809958.571344681	43535386036.02911
b4523	1335291	1335458	1	gene		1335291	0	P58094					5809958.571344681	43541195994.60046
PM261	1335424	1335830	1	promoter	[b1276]	1335458	0						0.0	43541195994.60046
b1276	1335831	1338506	1	gene		1335831	0	P25516	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	acnA	97597.74141	183.14043792353297	17874093.102175128	43559070087.70263
b1277	1338570	1339160	-1	gene		1338570	0	P0A7I7	GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1	ribA	21804.17238	195.94154777256307	4272343.28403697	43563342430.986664
PM194	1339161	1339234	-1	promoter	[b1277]	1339161	0						0.0	43563342430.986664
PM0-46326	1339309	1339329	1	promoter	[b1278]	1339309	0						0.0	43563342430.986664
b1278	1339330	1340094	1	gene		1339330	0	P0A924					5809958.571344681	43569152389.55801
PM0-9725	1340135	1340242	1	promoter	[b1280, b1279]	1340135	0						0.0	43569152389.55801
b1279	1340243	1340551	1	gene		1340243	0	P0ACV4					5809958.571344681	43574962348.12935
b1280	1340558	1341727	1	gene		1340558	0	P0AB58					5809958.571344681	43580772306.70069
PM00369	1341870	1341920	1	promoter	[b1282, b1281]	1341870	0						0.0	43580772306.70069
b1281	1341921	1342658	1	gene		1341921	0	P08244	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	pyrF	26315.46192	1561.35424693306	41087758.22879722	43621860064.92949
b1282	1342658	1342984	1	gene		1342658	0	P08245	Uncharacterized protein yciH OS=Escherichia coli (strain K12) GN=yciH PE=1 SV=1	yciH	11371.09405	150.0273624877402	1705975.2489215357	43623566040.17841
b1283	1343110	1343328	-1	gene		1343110	0	P0ADA7	Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1	osmB	6925.61897	1119.0611224545155	7750190.938260486	43631316231.11668
PM00531	1343329	1343476	-1	promoter	[b1283]	1343329	0						0.0	43631316231.11668
b1284	1343597	1344346	-1	gene		1343597	0	P76034	Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1	yciT	27567.18184	94.44833148323087	2603674.3284828225	43633919905.44516
PM0-46123	1344347	1344510	-1	promoter	[b1284]	1344347	0						0.0	43633919905.44516
b4596	1344436	1344609	-1	gene		1344510	0	A5A614					5809958.571344681	43639729864.0165
PM0-8911	1344610	1344638	-1	promoter	[b4596, b1284]	1344610	0						0.0	43639729864.0165
b1285	1344757	1346742	-1	gene		1344757	0	P77334					5809958.571344681	43645539822.587845
PM0-4261	1346743	1346843	-1	promoter	[b1285]	1346743	0						0.0	43645539822.587845
b4672	1346796	1346900	1	gene		1346843	0	C1P5Z9					5809958.571344681	43651349781.15919
b1286	1346978	1348912	-1	gene		1346978	0	P30850	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	rnb	72427.22502	1262.708461392727	91454469.86794902	43742804251.02714
PM682	1348913	1349129	-1	promoter	[b1286]	1348913	0						0.0	43742804251.02714
b1287	1348980	1350107	-1	gene		1349129	0	P76035	Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2	yciW	42175.50636	27.44454209192552	1157487.4595452924	43743961738.48669
PM0-46333	1350108	1350132	-1	promoter	[b1287]	1350108	0						0.0	43743961738.48669
b1288	1350251	1351039	-1	gene		1350251	0	P0AEK4	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	fabI	27828.04478	5999.211248049144	166946319.25539127	43910908057.74208
PM0-46358	1351040	1351121	-1	promoter	[b1288]	1351040	0						0.0	43910908057.74208
b1289	1351407	1351760	-1	gene		1351407	0	P45736					5809958.571344681	43916718016.31342
b1290	1351828	1352634	-1	gene		1351828	0	P0AAH8					5809958.571344681	43922527974.884766
b1291	1352636	1353628	-1	gene		1352636	0	P0AAH4					5809958.571344681	43928337933.45611
b1292	1353628	1354518	-1	gene		1353628	0	P0AGH5					5809958.571344681	43934147892.02745
b1293	1354505	1355470	-1	gene		1354518	0	P0AGH3					5809958.571344681	43939957850.59879
b1294	1355467	1357110	-1	gene		1355470	0	Q47622	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	sapA	61508.41287	9.424105790451012	579661.7898896185	43940537512.38868
b1295	1357423	1357668	-1	gene		1357423	0	P0ACV8	Uncharacterized protein ymjA OS=Escherichia coli (strain K12) GN=ymjA PE=4 SV=1	ymjA	9297.38439	218.6321119830342	2032706.785103794	43942570219.17378
b1296	1357802	1359187	-1	gene		1357802	0	P76037					5809958.571344681	43948380177.745125
PM0-4644	1359188	1359373	-1	promoter	[b1296]	1359188	0						0.0	43948380177.745125
b1297	1359490	1360908	-1	gene		1359490	0	P78061					5809958.571344681	43954190136.31647
PM0-10351	1360909	1360968	-1	promoter	[b1296, b1297]	1360909	0						0.0	43954190136.31647
PM0-10033	1361052	1361119	1	promoter	[b1302, b1301, b1300, b1299, b1298]	1361052	0						0.0	43954190136.31647
b1298	1361120	1361884	1	gene		1361120	0	P76038					5809958.571344681	43960000094.88781
b1299	1361911	1362468	1	gene		1361911	0	P0A9U6	HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1	puuR	20061.16312	76.95609484246091	1543828.771712799	43961543923.65952
PM0-46121	1362728	1362742	1	promoter	[b1302, b1301, b1300]	1362728	0						0.0	43961543923.65952
b1300	1362743	1364230	1	gene		1362743	0	P23883	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2	puuC	53367.43457	105.7650663730493	5644410.259455415	43967188333.918976
b1301	1364232	1365512	1	gene		1364232	0	P37906					5809958.571344681	43972998292.49032
b1302	1365550	1366815	1	gene		1365550	0	P50457					5809958.571344681	43978808251.06166
b1303	1366935	1367912	-1	gene		1366935	0	P37344					5809958.571344681	43984618209.633
PM0-1986	1367913	1368040	-1	promoter	[b1303]	1367913	0						0.0	43984618209.633
PM0-1981	1368038	1368078	1	promoter	[b1304, b1305, b1306, b1307, b1308]	1368040	0						0.0	43984618209.633
b1304	1368079	1368747	1	gene		1368079	0	P0AFM6	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	pspA	25459.21011	1355.112573805169	34500095.739208676	44019118305.372215
b1305	1368801	1369025	1	gene		1368801	0	P0AFM9	Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1	pspB	8739.60149	230.6677741544728	2015944.4226954137	44021134249.794914
b1306	1369025	1369384	1	gene		1369025	0	P0AFN2					5809958.571344681	44026944208.36626
b1307	1369393	1369614	1	gene		1369393	0	P0AFV8					5809958.571344681	44032754166.9376
b1308	1369689	1370003	1	gene		1369689	0	P23857	Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) GN=pspE PE=1 SV=1	pspE	11450.0187	489.97397702965225	5610211.199502889	44038364378.1371
b1309	1370216	1371895	1	gene		1370216	0	P76041					5809958.571344681	44044174336.70844
b1310	1371909	1373201	1	gene		1371909	0	P76042					5809958.571344681	44049984295.279785
b1311	1373222	1374103	1	gene		1373222	0	P0AFR7					5809958.571344681	44055794253.85113
b1312	1374090	1374932	1	gene		1374103	0	P77716					5809958.571344681	44061604212.42247
b1313	1374963	1376015	1	gene		1374963	0	P76043					5809958.571344681	44067414170.99381
b1314	1376034	1376822	1	gene		1376034	0	P76044					5809958.571344681	44073224129.565155
b1315	1376832	1377887	1	gene		1376832	0	P77503					5809958.571344681	44079034088.1365
b1316	1377884	1380151	1	gene		1377887	0	P77154					5809958.571344681	44084844046.70784
b1317	1380148	1380807	1	gene		1380151	0	P77366					5809958.571344681	44090654005.27918
b4524	1380821	1381902	1	gene		1380821	0						5809958.571344681	44096463963.850525
b1319	1381947	1382852	1	gene		1381947	0	P76045					5809958.571344681	44102273922.42187
b1320	1382963	1383961	-1	gene		1382963	0	P77615	Uncharacterized HTH-type transcriptional regulator ycjW OS=Escherichia coli (strain K12) GN=ycjW PE=1 SV=1	ycjW	36093.66433	25.696216301936904	927470.6057531845	44103201393.02762
PM0-9726	1384069	1384116	1	promoter	[b1323, b1322, b1321]	1384069	0						0.0	44103201393.02762
b1321	1384117	1385514	1	gene		1384117	0	P76046	Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1	ycjX	52558.10385	27.890823176178895	1465888.7809555973	44104667281.80857
b1322	1385511	1386572	1	gene		1385514	0	P0A8R7	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	ycjF	39349.43739	6.575410231057394	258738.69320055837	44104926020.50177
PM00097	1386692	1386719	1	promoter	[b1323]	1386692	0						0.0	44104926020.50177
b1323	1386720	1388261	1	gene		1386720	0	P07604	Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2	tyrR	57601.71114	30.41629917097591	1752030.8787943758	44106678051.38056
b1324	1388305	1388811	-1	gene		1388305	0	P0A862	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	tpx	17806.20497	29900.16021400179	532408381.4063549	44639086432.78692
PM334	1388812	1388844	-1	promoter	[b1324]	1388812	0						0.0	44639086432.78692
PM0-10034	1388874	1388929	1	promoter	[b1325]	1388874	0						0.0	44639086432.78692
b1325	1388930	1389895	1	gene		1388930	0	P51981					5809958.571344681	44644896391.35826
b1326	1389870	1390598	-1	gene		1389895	0	P0ACV6					5809958.571344681	44650706349.9296
b4525	1390725	1390862	-1	gene		1390725	0	Q2EER5					5809958.571344681	44656516308.500946
b4673	1390868	1390933	-1	gene		1390868	0	P0CD93					5809958.571344681	44662326267.07229
b1327	1390933	1391853	-1	gene		1390933	0	P76049					5809958.571344681	44668136225.64363
PM0-44865	1391854	1392072	-1	promoter	[b1326, b4525, b4673, b1327]	1391854	0						0.0	44668136225.64363
b1328	1391991	1392890	1	gene		1392072	0	P77333					5809958.571344681	44673946184.21497
b1329	1393227	1394840	1	gene		1393227	0	P77348	Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	mppA	59844.8587	37.649561785324856	2253132.7051596856	44676199316.920135
b1330	1394891	1395922	-1	gene		1394891	0	P0AEB5					5809958.571344681	44682009275.49148
PM0-10035	1395923	1395973	-1	promoter	[b1330]	1395923	0						0.0	44682009275.49148
b1331	1396076	1397092	1	gene		1396076	0	P0CE52					5809958.571344681	44687819234.06282
b1332	1397365	1397622	1	gene		1397365	0	P64445					5809958.571344681	44693629192.63416
b1333	1397672	1398622	-1	gene		1397672	0	P0AAC0	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	uspE	35666.29663	696.122490517344	24828111.23760595	44718457303.871765
PM0-10036	1398623	1398659	-1	promoter	[b1333]	1398623	0						0.0	44718457303.871765
b1334	1398774	1399526	-1	gene		1398774	0	P0A9E5	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	fnr	27931.33827	881.7055494599371	24627215.95650172	44743084519.82827
PM00029	1399527	1399552	-1	promoter	[b1334]	1399527	0						0.0	44743084519.82827
b1335	1399721	1400236	-1	gene		1399721	0	P0AFH0	Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1	ogt	19148.91391	0.26860744207256537	5143.5407838328665	44743089663.36906
PM0-10357	1400237	1400284	-1	promoter	[b1335]	1400237	0						0.0	44743089663.36906
b1336	1400247	1401773	-1	gene		1400284	0	P46133					5809958.571344681	44748899621.9404
b1337	1401810	1403255	-1	gene		1401810	0	P76052					5809958.571344681	44754709580.51174
b1338	1403255	1404565	-1	gene		1403255	0	P77357					5809958.571344681	44760519539.083084
b1339	1404741	1405649	1	gene		1404741	0	P77744					5809958.571344681	44766329497.65443
b4426	1405656	1405751	-1	gene		1405656	0						5809958.571344681	44772139456.22577
PM0-46176	1405752	1405751	-1	promoter	[b4426]	1405752	1						0.0	44772139456.22577
b1340	1405979	1406542	1	gene		1405979	0	P76053					5809958.571344681	44777949414.79711
b1341	1406563	1407795	-1	gene		1406563	0	P77302					5809958.571344681	44783759373.368454
PM0-10037	1408024	1408049	1	promoter	[b1342]	1408024	0						0.0	44783759373.368454
b1342	1408050	1409033	1	gene		1408050	0	P64423					5809958.571344681	44789569331.9398
PM0-10502	1409129	1409128	1	promoter	[b4699]	1409129	1						0.0	44789569331.9398
b4699	1409129	1409250	1	gene		1409129	0						5809958.571344681	44795379290.51114
b1343	1409511	1410884	1	gene		1409511	0	P21693					5809958.571344681	44801189249.08248
b1344	1411013	1411948	-1	gene		1411013	0	P76055	tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1	ttcA	35520.02369	389.3598557111578	13830071.298795309	44815019320.38128
b1345	1412000	1413235	-1	gene		1412000	0	P76056					5809958.571344681	44820829278.95262
b1346	1413237	1413452	-1	gene		1413237	0	P76057					5809958.571344681	44826639237.523964
b1347	1413531	1413740	-1	gene		1413531	0	P33230					5809958.571344681	44832449196.09531
PM0-46324	1413556	1413555	1	promoter	[b4714]	1413740	1						0.0	44832449196.09531
b4714	1413556	1413734	1	gene		1413740	1						5809958.571344681	44838259154.66665
b1348	1413733	1413927	-1	gene		1413740	0	P33229					5809958.571344681	44844069113.23799
b1349	1413984	1414793	-1	gene		1413984	0	P33228					5809958.571344681	44849879071.80933
b1350	1414786	1417386	-1	gene		1414793	0	P15032					5809958.571344681	44855689030.38068
b1351	1417488	1417763	-1	gene		1417488	0	P15033					5809958.571344681	44861498988.95202
b4526	1417838	1418008	-1	gene		1417838	0	P38394					5809958.571344681	44867308947.52336
b1352	1418008	1418229	-1	gene		1418008	0	P38393					5809958.571344681	44873118906.0947
b1353	1418671	1419159	1	gene		1418671	0	P38392					5809958.571344681	44878928864.666046
b4527	1419156	1419311	-1	gene		1419159	0	P0ACW0					5809958.571344681	44884738823.23739
b1355	1419322	1419456	-1	gene		1419322	0	P76061					5809958.571344681	44890548781.80873
b1356	1419765	1420241	-1	gene		1419765	0	P76062	Rac prophage repressor OS=Escherichia coli (strain K12) GN=racR PE=4 SV=1	racR	17634.15454	1.1178782729430206	19712.838221985523	44890568494.64695
b1357	1420365	1420661	1	gene		1420365	0	P76063					5809958.571344681	44896378453.21829
b1358	1420684	1421106	1	gene		1420684	0	P76064					5809958.571344681	44902188411.789635
b1359	1421119	1421976	1	gene		1421119	0	P76065					5809958.571344681	44907998370.36098
b1360	1421983	1422729	1	gene		1421983	0	P77546					5809958.571344681	44913808328.93232
b1361	1422701	1423200	1	gene		1422729	0	P76066					5809958.571344681	44919618287.50366
b1362	1423201	1423644	1	gene		1423201	0	P77551					5809958.571344681	44925428246.075005
b4528	1423400	1423585	1	gene		1423644	1	P58042					5809958.571344681	44931238204.64635
b1363	1423782	1425239	1	gene		1423782	0	P23849					5809958.571344681	44937048163.21769
b1365	1425377	1425640	1	gene		1425377	0	P76068					5809958.571344681	44942858121.78903
b1366	1425630	1426082	1	gene		1425640	0	P76069					5809958.571344681	44948668080.360374
b1368	1426454	1427386	1	gene		1426454	0	P77658					5809958.571344681	44954478038.93172
b4570	1427389	1428984	1	gene		1427389	0						5809958.571344681	44960287997.50306
b1370	1427746	1428726	-1	gene		1428984	1	P76071					5809958.571344681	44966097956.0744
b1372	1429049	1432411	1	gene		1429049	0	P76072					5809958.571344681	44971907914.645744
b1373	1432411	1432986	1	gene		1432411	0	P77163					5809958.571344681	44977717873.21709
b1374	1433084	1433674	-1	gene		1433084	0	P0ADI0					5809958.571344681	44983527831.78843
b1375	1433991	1434224	-1	gene		1433991	0	P76073					5809958.571344681	44989337790.35977
b4638	1434958	1435008	-1	gene		1434958	0						5809958.571344681	44995147748.931114
b1376	1435185	1435619	-1	gene		1435185	0	P37903	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	uspF	15988.50332	306.3664048641152	4898340.28130637	45000046089.21242
PM0-10038	1435620	1435641	-1	promoter	[b1376]	1435620	0						0.0	45000046089.21242
b1377	1435760	1436893	-1	gene		1435760	0	P77747					5809958.571344681	45005856047.78376
PM0-9260	1437121	1437120	1	promoter	[b4427]	1437121	1						0.0	45005856047.78376
b4427	1437121	1437229	1	gene		1437121	0						5809958.571344681	45011666006.3551
b1378	1437260	1440784	-1	gene		1437260	0	P52647	Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2	ydbK	128725.189	37.950387686883886	4885170.827617401	45016551177.18272
PM0-44898	1440785	1440846	-1	promoter	[b1377, b1378]	1440785	0						0.0	45016551177.18272
PM0-36237	1441029	1441057	1	promoter	[b4529]	1441029	0						0.0	45016551177.18272
b4529	1441058	1441324	1	gene		1441058	0	P0ACW2					5809958.571344681	45022361135.75406
