gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
PM0-9976	408148	408176	1	promoter	[b0391]	408148	0					0.0			22.62438093861625	-8.181174514997334e-07	0.07092254175945815
b0391	408177	408461	1	gene		408177	0	P0C037				0.017911945107084437			22.642292883723336	0.0008104373067777961	0.07092172364200665
PM0-46310	408574	408608	1	promoter	[b0392]	408574	0					0.0			22.642292883723336	-8.181174514997334e-07	0.07173216094878444
b0392	408609	408950	1	gene		408609	0	P75704				0.017911945107084437			22.660204828830423	-8.181174514997334e-07	0.07173134283133294
b0393	409108	410019	-1	gene		409108	0	P36767	Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1	rdgC	Cytoplasm	0.035952744930042066	0.02854609661868538	0.03163384614725971	22.696157573760466	6.448267488036997e-05	0.07173052471388143
b0394	410144	411052	1	gene		410144	0	P23917				0.017911945107084437			22.71406951886755	3.057478089090816e-05	0.0717950073887618
b0396	411297	412481	-1	gene		411297	0	P23910				0.017911945107084437			22.731981463974627	-8.181174514997334e-07	0.07182558216965271
PM00140	412482	412529	-1	promoter	[b0396]	412482	0					0.0			22.731981463974627	-8.181174514997334e-07	0.0718247640522012
b0397	412607	415753	-1	gene		412607	0	P13458				0.017911945107084437			22.749893409081718	1.5875252570825898e-06	0.0718239459347497
b0398	415750	416952	-1	gene		415753	0	P0AG76				0.017911945107084437			22.7678053541888	-8.181174514997334e-07	0.07182553346000678
PM0-9646	416953	416977	-1	promoter	[b0398, b0397]	416953	0					0.0			22.7678053541888	-8.181174514997334e-07	0.07182471534255527
PM00072	417101	417141	1	promoter	[b0399, b0400]	417101	0					0.0			22.7678053541888	-8.181174514997334e-07	0.07182389722510377
b0399	417142	417831	1	gene		417142	0					0.017911945107084437			22.78571729929588	-8.181174514997334e-07	0.07182307910765226
b0400	417889	419184	1	gene		417889	0	P08400				0.017911945107084437			22.803629244402966	-8.181174514997334e-07	0.07182226099020075
PM0-9977	419488	419590	1	promoter	[b0402, b0401]	419488	0					0.0			22.803629244402966	-8.181174514997334e-07	0.07182144287274925
b0401	419591	420910	1	gene		419591	0	P0AD99				0.017911945107084437			22.82154118951005	-8.181174514997334e-07	0.07182062475529774
b0402	420986	422359	1	gene		420986	0	P0AAE2				0.017911945107084437			22.839453134617127	6.9176055247565145e-06	0.07181980663784623
PM0-5642	422495	422517	1	promoter	[b0403]	422495	0					0.0			22.839453134617127	-8.181174514997334e-07	0.07182672424337098
b0403	422518	424332	1	gene		422518	0	P21517	Maltodextrin glucosidase OS=Escherichia coli (strain K12) GN=malZ PE=2 SV=4	malZ	Cytoplasm	0.00010429047123113493	1.2595163718690442e-05	0.00012887898714894323	22.839557425088373	2.9184560732300278e-06	0.07182590612591948
b0404	424337	424918	-1	gene		424337	0	P21515				0.017911945107084437			22.85746937019545	-8.181174514997334e-07	0.0718288245819927
PM00336	424985	425010	1	promoter	[b0405]	424985	0					0.0			22.85746937019545	-8.181174514997334e-07	0.0718280064645412
b0405	425011	426081	1	gene		425011	0	P0A7F9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1	queA	Cytoplasm	0.027175622716531626	0.03014415734270473	0.027147226116724543	22.884644992911984	3.209399787665825e-05	0.07182718834708969
PM1030	426055	426136	1	promoter	[b0407, b0406]	426081	0					0.0			22.884644992911984	-8.181174514997334e-07	0.07185928234496634
b0406	426137	427264	1	gene		426137	0	P0A847				0.017911945107084437			22.902556938019067	0.0001750967238936919	0.07185846422751484
PM1029	427205	427286	1	promoter	[b0409, b0408, b0407]	427264	0					0.0			22.902556938019067	-8.181174514997334e-07	0.07203356095140853
b0407	427287	427619	1	gene		427287	0	P0ADZ7	UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1	yajC	Cell inner membrane	0.1079985663686692	0.09869744613195057	0.09889224412927622	23.01055550438773	0.002574756601913186	0.07203274283395703
b0408	427647	429494	1	gene		427647	0	P0AG90	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	secD	Cell inner membrane	0.047521628710350136	0.04883096415765924	0.04716022338822565	23.058077133098077	0.0001510952807504761	0.07460749943587021
b0409	429505	430476	1	gene		429505	0	P0AG93	Protein-export membrane protein secF OS=Escherichia coli (strain K12) GN=secF PE=1 SV=1	secF	Cell inner membrane	0.027265658874054532	0.02766224717333397	0.024990865567758445	23.085342791972128	0.00012532333286917918	0.07475859471662069
b0410	430605	430952	1	gene		430605	0	P0AAQ2				0.017911945107084437			23.10325473707922	1.3286923271762377e-05	0.07488391804948986
b0411	431129	432013	-1	gene		431129	0	P0A927	Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1	tsx	Cell outer membrane	0.07477419281990175	0.07006369501036121	0.07403223977410604	23.17802892989912	0.0004204223000897515	0.07489720497276163
PM00338	432014	432245	-1	promoter	[b0411]	432014	0					0.0			23.17802892989912	-8.181174514997334e-07	0.07531762727285138
b0412	432312	432851	-1	gene		432312	0	P46122				0.017911945107084437			23.195940875006205	1.1719075612450938e-05	0.07531680915539987
PM0-9643	432977	433001	1	promoter	[b0418, b0417, b0416, b0415, b0414, b0413]	432977	0					0.0			23.195940875006205	-8.181174514997334e-07	0.07532852823101233
b0413	433002	433451	1	gene		433002	0	P0A8D0				0.017911945107084437			23.21385282011329	8.820448003836638e-05	0.07532771011356082
b0414	433455	434558	1	gene		433455	0	P25539				0.017911945107084437			23.23176476522037	4.80133897345382e-05	0.07541591459359918
PM0-9711	434504	434646	1	promoter	[b0418, b0417, b0416, b0415]	434558	0					0.0			23.23176476522037	-8.181174514997334e-07	0.07546392798333372
b0415	434647	435117	1	gene		434647	0	P61714				0.017911945107084437			23.249676710327453	0.0029064414500943572	0.07546310986588221
b0416	435137	435556	1	gene		435137	0	P0A780				0.017911945107084437			23.267588655434537	0.0002659576881018504	0.07836955131597657
b0417	435634	436611	1	gene		435634	0	P0AGG0				0.017911945107084437			23.285500600541624	4.924797785809776e-05	0.07863550900407842
b0418	436589	437107	1	gene		436611	0	P18200				0.017911945107084437			23.303412545648712	-8.181174514997334e-07	0.07868475698193653
b0419	437161	438135	-1	gene		437161	0	P77735				0.017911945107084437			23.32132449075579	0.00015358268923256648	0.07868393886448502
b0420	438315	440177	-1	gene		438315	0	P77488	1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3	dxs	Cytoplasm	0.028208306512989275	0.0334771999339107	0.03554668860411577	23.349532797268786	4.544711779053815e-05	0.0788375215537176
b0421	440202	441101	-1	gene		440202	0	P22939	Farnesyl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispA PE=1 SV=1	ispA	Cytoplasm	0.0005166609851219775	0.0005946207191050014	0.000623191334792291	23.35004945825391	3.2087868810916134e-05	0.07888296867150812
b0422	441101	441343	-1	gene		441101	0	P0A8G9	Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2	xseB	Cytoplasm	0.015034383077878338	0.012664632095166538	0.013647729461620468	23.36508384133179	0.00011486405543038225	0.07891505654031904
PM0-2082	441344	441373	-1	promoter	[b0419, b0420, b0421, b0422]	441344	0					0.0			23.36508384133179	-8.181174514997334e-07	0.07902992059574943
PM0-46120	441468	441548	1	promoter	[b0423]	441468	0					0.0			23.36508384133179	-8.181174514997334e-07	0.07902910247829792
b0423	441549	442997	1	gene		441549	0	P77718	tRNA sulfurtransferase OS=Escherichia coli (strain K12) GN=thiI PE=1 SV=1	thiI	Cytoplasm	0.017836908624149755	0.020110846699250184	0.018013694964540982	23.382920749955936	4.311158311812741e-05	0.07902828436084641
b0424	443051	443641	-1	gene		443051	0	Q46948				0.017911945107084437			23.40083269506302	0.0001102335069744097	0.07907139594396453
b0425	443604	444515	-1	gene		443641	0	P0A9J4				0.017911945107084437			23.418744640170107	8.544413031281341e-06	0.07918162945093894
PM0-9978	444658	444682	1	promoter	[b0426]	444658	0					0.0			23.418744640170107	-8.181174514997334e-07	0.07919017386397022
b0426	444683	445174	1	gene		444683	0	P0A8E7				0.017911945107084437			23.43665658527719	0.001213037285816541	0.07918935574651871
b0427	445302	446666	-1	gene		445302	0	P77726				0.017911945107084437			23.454568530384268	-8.181174514997334e-07	0.08040239303233525
PM0-9979	446667	446687	-1	promoter	[b0427]	446667	0					0.0			23.454568530384268	-8.181174514997334e-07	0.08040157491488374
b0428	446815	447705	-1	gene		446815	0	P0AEA5				0.017911945107084437			23.472480475491363	-8.181174514997334e-07	0.08040075679743224
b0429	447717	448046	-1	gene		447717	0	P0ABJ6	Cytochrome o ubiquinol oxidase protein CyoD OS=Escherichia coli (strain K12) GN=cyoD PE=1 SV=1	cyoD	Cell inner membrane	0.00338534274763438	0.002712696196211151	0.00147675838484672	23.475865818238987	-8.181174514997334e-07	0.08039993867998073
b0430	448046	448660	-1	gene		448046	0	P0ABJ3	Cytochrome o ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=cyoC PE=1 SV=1	cyoC	Cell inner membrane	0.0006728930367093954	0.0008703253487274418	0.0006474867675314366	23.4765387112757	4.413854747596641e-06	0.08039912056252922
b0431	448650	450641	-1	gene		448660	0	P0ABI8	Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1	cyoB	Cell inner membrane	0.11713011635109287	0.11910231742479314	0.1180154848702033	23.593668827626797	0.0003522087844861953	0.08040353441727682
b0432	450663	451610	-1	gene		450663	0	P0ABJ1	Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1	cyoA	Cell inner membrane	0.14368260790959891	0.17564840233993362	0.1514558283206799	23.737351435536393	0.0008022750934132608	0.08075574320176301
PM00142	451611	451653	-1	promoter	[b0428, b0429, b0430, b0431, b0432]	451611	0					0.0			23.737351435536393	-8.181174514997334e-07	0.08155801829517627
b0433	452070	453545	-1	gene		452070	0	P0AE16				0.017911945107084437			23.75526338064348	-8.181174514997334e-07	0.08155720017772476
b0434	453589	454167	-1	gene		453589	0	P0ADA5	Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1	yajG	Cell membrane	0.17774238745569493	0.15659809472760566	0.15880712250138534	23.93300576809917	0.0008695045983420385	0.08155638206027326
PM0-46359	454168	454210	-1	promoter	[b0433, b0434]	454168	0					0.0			23.93300576809917	-8.181174514997334e-07	0.08242588665861529
PM0-9325	454349	454471	1	promoter	[b0435]	454349	0					0.0			23.93300576809917	-8.181174514997334e-07	0.08242506854116378
b0435	454472	454789	1	gene		454472	0	P0ABE2				0.017911945107084437			23.95091771320625	0.00030910747342128924	0.08242425042371228
PM0-9980	454993	455132	1	promoter	[b0436]	454993	0					0.0			23.95091771320625	-8.181174514997334e-07	0.08273335789713357
b0436	455133	456431	1	gene		455133	0	P0A850	Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1	tig	Cytoplasm	2.0430756119958593	1.938580608871976	1.992935093644841	25.993993325202123	0.0037611843529675297	0.08273253977968206
PM00339	456577	456676	1	promoter	[b0437, b0438]	456577	0					0.0			25.993993325202123	-8.181174514997334e-07	0.0864937241326496
PM0-9744	456605	456676	1	promoter	[b0438, b0437]	456676	0					0.0			25.993993325202123	-8.181174514997334e-07	0.08649290601519809
PM00569	456646	456676	1	promoter	[b0437, b0438]	456676	0					0.0			25.993993325202123	-8.181174514997334e-07	0.08649208789774658
b0437	456677	457300	1	gene		456677	0	P0A6G7	ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1	clpP	Cytoplasm	0.3391413101875363	0.346834158666742	0.3317865363367861	26.333134635389648	0.0022146929118020933	0.08649126978029507
PM0-9696	457202	457425	1	promoter	[b0439, b0438]	457300	0					0.0			26.333134635389648	-8.181174514997334e-07	0.08870596269209717
b0438	457426	458700	1	gene		457426	0	P0A6H1				0.017911945107084437			26.35104658049673	0.00041545059565260383	0.08870514457464566
sraA	458728	458784	-1	gene		458728	0					0.017911945107084437			26.36895852560382	-8.181174514997334e-07	0.08912059517029827
PM00511	458815	458887	1	promoter	[b0439]	458815	0					0.0			26.36895852560382	-8.181174514997334e-07	0.08911977705284677
b0439	458888	461242	1	gene		458888	0	P0A9M0	Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1	lon	Cytoplasm	0.16525962372920636	0.17253551488321398	0.1603143554134695	26.534218149333025	0.0003098206154165734	0.08911895893539526
PM590	461305	461450	1	promoter	[b0440]	461305	0					0.0			26.534218149333025	-8.181174514997334e-07	0.08942877955081183
b0440	461451	461723	1	gene		461451	0	P0ACF4				0.017911945107084437			26.55213009444011	0.004288395129420141	0.08942796143336032
PM00615	461819	461914	1	promoter	[b0441]	461819	0					0.0			26.55213009444011	-8.181174514997334e-07	0.09371635656278046
b0441	461915	463786	1	gene		461915	0	P0ADY1	Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1	ppiD	Cell inner membrane	0.10542556066613566	0.11948427433394658	0.12622242834139846	26.657555655106243	0.00030099440479717794	0.09371553844532896
b0442	463937	464308	1	gene		463937	0	P0AAR8				0.017911945107084437			26.675467600213327	-8.181174514997334e-07	0.09401653285012614
PM0-44483	464360	464401	1	promoter	[b0443]	464360	0					0.0			26.675467600213327	-8.181174514997334e-07	0.09401571473267463
b0443	464402	464800	1	gene		464402	0	P77712				0.017911945107084437			26.69337954532041	9.517848811032282e-06	0.09401489661522312
b0444	464852	465547	-1	gene		464852	0	P77756				0.017911945107084437			26.711291490427488	3.182489221494991e-05	0.09402441446403416
b0445	465612	467312	-1	gene		465612	0	P46890				0.017911945107084437			26.72920343553458	-8.181174514997334e-07	0.09405623935624911
b0446	467412	468230	1	gene		467412	0	P46891				0.017911945107084437			26.747115380641667	-8.181174514997334e-07	0.0940554212387976
PM0-10221	468352	468382	1	promoter	[b0447]	468352	0					0.0			26.747115380641667	-8.181174514997334e-07	0.0940546031213461
b0447	468383	468841	1	gene		468383	0	P0ACJ5				0.017911945107084437			26.76502732574875	-8.181174514997334e-07	0.0940537850038946
b0448	468871	470643	1	gene		468871	0	P77265				0.017911945107084437			26.782939270855827	-8.181174514997334e-07	0.09405296688644309
b0449	470636	472417	1	gene		470643	0	P0AAG5				0.017911945107084437			26.800851215962915	1.0747420731211381e-05	0.09405214876899158
PM687	472556	472597	1	promoter	[b0451, b0450]	472556	0					0.0			26.800851215962915	-8.181174514997334e-07	0.09406289618972279
b0450	472598	472936	1	gene		472598	0					0.017911945107084437			26.818763161070002	-8.181174514997334e-07	0.09406207807227128
b0451	472966	474252	1	gene		472966	0	P69681	Ammonia channel OS=Escherichia coli (strain K12) GN=amtB PE=1 SV=1	amtB	Cell inner membrane	0.0039209091717995245	0.003833266988014167	0.0043603956632390865	26.8226840702418	1.3286923271762377e-05	0.09406125995481977
b0452	474301	475161	-1	gene		474301	0	P0AGG2				0.017911945107084437			26.840596015348886	3.118519441252225e-05	0.09407454687809154
PM0-9982	475162	475201	-1	promoter	[b0452]	475162	0					0.0			26.840596015348886	-8.181174514997334e-07	0.09410573207250406
b0453	475379	475951	1	gene		475379	0	P77717	Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1	ybaY	Cell membrane	0.1340363765619268	0.14906005716353798	0.1691870283886767	26.97463239191081	0.0006739882719196779	0.09410491395505255
b0454	475982	476371	-1	gene		475982	0	P0AFP2				0.017911945107084437			26.99254433701789	-8.181174514997334e-07	0.09477890222697223
b0455	476448	476561	1	gene		476448	0					0.017911945107084437			27.010456282124977	-8.181174514997334e-07	0.09477808410952072
b0456	476672	477025	1	gene		476672	0	P0AAQ6				0.017911945107084437			27.02836822723206	-8.181174514997334e-07	0.09477726599206922
b0457	477067	478617	-1	gene		477067	0	P77473				0.017911945107084437			27.046280172339145	-8.181174514997334e-07	0.09477644787461771
b0458	478781	479251	-1	gene		478781	0	P0AAS0	Inner membrane protein ylaC OS=Escherichia coli (strain K12) GN=ylaC PE=1 SV=2	ylaC	Cell inner membrane	0.0043897351821699905	0.0035904844356423244	0.004853306516759103	27.050669907521314	9.93424735842568e-06	0.0947756297571662
PM0-9983	479252	479288	-1	promoter	[b0458]	479252	0					0.0			27.050669907521314	-8.181174514997334e-07	0.09478556400452463
b0459	479367	479918	-1	gene		479367	0	P77791				0.017911945107084437			27.068581852628398	1.3461141717780083e-05	0.09478474588707313
b0460	480090	480308	-1	gene		480090	0	P0ACE3				0.017911945107084437			27.086493797735482	0.00015661365740900237	0.09479820702879091
b0461	480334	480708	-1	gene		480334	0	P0AAR0				0.017911945107084437			27.10440574284257	-8.181174514997334e-07	0.09495482068619991
PM0-9394	480709	480794	-1	promoter	[b0461, b0460]	480709	0					0.0			27.10440574284257	-8.181174514997334e-07	0.0949540025687484
b0462	481254	484403	-1	gene		481254	0	P31224	Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	acrB	Cell inner membrane	0.05319036713947065	0.05819844700434192	0.05250542189395857	27.157596109982038	0.00013774224249935282	0.0949531844512969
PM0-9984	484404	484685	-1	promoter	[b0462]	484404	0					0.0			27.157596109982038	-8.181174514997334e-07	0.09509092669379625
b0463	484426	485619	-1	gene		484685	0	P0AE06	Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	acrA	Cell inner membrane	0.16962918271474195	0.16605707208276355	0.17395106206927774	27.32722529269678	0.0005791943071910755	0.09509010857634474
PM624	485620	485698	-1	promoter	[b0463, b0462]	485620	0					0.0			27.32722529269678	-8.181174514997334e-07	0.09566930288353581
PM0-8705	485699	485760	1	promoter	[b0464]	485699	0					0.0			27.32722529269678	-8.181174514997334e-07	0.0956684847660843
b0464	485761	486408	1	gene		485761	0	P0ACS9				0.017911945107084437			27.345137237803865	-8.181174514997334e-07	0.0956676666486328
PM0-9985	486492	486535	1	promoter	[b0465]	486492	0					0.0			27.345137237803865	-8.181174514997334e-07	0.09566684853118129
b0465	486536	489898	1	gene		486536	0	P77338	Potassium efflux system KefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1	mscK	Cell inner membrane	0.001389924756269468	0.0016883125039611785	0.001117124205333759	27.34652716256014	8.807717250735835e-06	0.09566603041372979
b0466	490110	490271	-1	gene		490110	0	P45807				0.017911945107084437			27.364439107667216	-8.181174514997334e-07	0.09567483813098052
b0467	490285	490812	-1	gene		490285	0	P23862				0.017911945107084437			27.382351052774304	5.166113959446986e-06	0.09567402001352901
b0468	490882	491259	1	gene		490882	0	P0AAR5				0.017911945107084437			27.400262997881388	-8.181174514997334e-07	0.09567918612748846
PM0-9608	491310	491411	1	promoter	[b0469]	491310	0					0.0			27.400262997881388	-8.181174514997334e-07	0.09567836801003696
b0469	491412	491963	1	gene		491412	0	P69503	Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1	apt	Cytoplasm	0.09918929854363702	0.10079809394555753	0.10904404617474336	27.499452296425034	0.0001930214106229443	0.09567754989258545
PM0-9522	492056	492091	1	promoter	[b0470]	492056	0					0.0			27.499452296425034	-8.181174514997334e-07	0.09587057130320839
b0470	492092	494023	1	gene		492092	0	P06710				0.017911945107084437			27.51736424153211	7.560349245139437e-06	0.09586975318575688
PM0-3622	493709	494075	1	promoter	[b0472, b0471]	494023	0					0.0			27.51736424153211	-8.181174514997334e-07	0.09587731353500202
b0471	494076	494405	1	gene		494076	0	P0A8B5	UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1	ybaB	Cytoplasm	0.13937406194336266	0.1369702518736422	0.13180336090645084	27.656738303475475	0.000774865199936979	0.09587649541755051
b0472	494405	495010	1	gene		494405	0	P0A7H6				0.017911945107084437			27.67465024858256	3.250470600027837e-05	0.0966513606174875
PM0-10471	494817	495119	1	promoter	[b0473]	495010	0					0.0			27.67465024858256	-8.181174514997334e-07	0.09668386532348777
b0473	495120	496994	1	gene		495120	0	P0A6Z3	Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1	htpG	Cytoplasm	0.248312577179318	0.2429093348820474	0.2520576493185511	27.922962825761882	0.0005132647127063659	0.09668304720603627
PM00342	497139	497174	1	promoter	[b0474]	497139	0					0.0			27.922962825761882	-8.181174514997334e-07	0.09719631191874263
b0474	497175	497819	1	gene		497175	0	P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	adk	Cytoplasm	0.20337736966985295	0.21955893508314103	0.2066225058118097	28.126340195431727	0.0009602429025810697	0.09719549380129112
PM0-9365	498031	498054	1	promoter	[b0475]	498031	0					0.0			28.126340195431727	-8.181174514997334e-07	0.09815573670387219
b0475	498055	499017	1	gene		498055	0	P23871	Ferrochelatase OS=Escherichia coli (strain K12) GN=hemH PE=1 SV=3	hemH	Cytoplasm	0.0011246845565724473	0.0011180704226030759	0.0009976790580274984	28.127464879988302	1.0321599787979918e-05	0.09815491858642068
b0476	499014	499973	-1	gene		499017	0	P23872				0.017911945107084437			28.145376825095386	-8.181174514997334e-07	0.09816524018620866
PM0-5661	499974	500051	-1	promoter	[b0476]	499974	0					0.0			28.145376825095386	-8.181174514997334e-07	0.09816442206875715
b0477	500125	501429	1	gene		500125	0	P0AEW6				0.017911945107084437			28.16328877020247	2.6719759958343975e-05	0.09816360395130565
b0478	501562	503238	-1	gene		501562	0	P39830	Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2	ybaL	Cell inner membrane	0.0085092203295311	0.008657385422805091	0.00804978537465407	28.171797990532003	2.060536894096604e-05	0.09819032371126399
PM0-9986	503239	503295	-1	promoter	[b0478]	503239	0					0.0			28.171797990532003	-8.181174514997334e-07	0.09821092908020496
b0479	503476	504696	-1	gene		503476	0	P52067				0.017911945107084437			28.18970993563909	7.569379457364261e-06	0.09821011096275345
b0480	504914	506566	1	gene		504914	0	P07024	Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2	ushA	Periplasm	0.034956497696024214	0.036674603611129036	0.038844035821034816	28.224666433335113	0.00014335646855692845	0.09821768034221082
b0481	506603	507082	-1	gene		506603	0	P0AAR3	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1	ybaK	Cytoplasm	0.012543360227080313	0.01471018555421161	0.01682241506133588	28.237209793562197	0.00013962895846279325	0.09836103681076774
b4585	507204	507287	1	gene		507204	0					0.017911945107084437			28.25512173866928	-8.181174514997334e-07	0.09850066576923054
PM0-9627	507204	507203	1	promoter	[b4585]	507204	1					0.0			28.237209793562197	-8.181174514997334e-07	0.09849984765177904
b0482	507286	508080	-1	gene		507287	0	P77301				0.017911945107084437			28.273033683776358	-8.181174514997334e-07	0.09849902953432753
PM0-36227	508191	508217	1	promoter	[b0483]	508191	0					0.0			28.273033683776358	-8.181174514997334e-07	0.09849821141687602
b0483	508218	508559	1	gene		508218	0	P0A9T6				0.017911945107084437			28.29094562888345	2.664491347735023e-05	0.09849739329942452
b0484	508875	511379	-1	gene		508875	0					0.017911945107084437			28.30885757399053	-8.181174514997334e-07	0.09852403821290187
PM172	511380	511411	-1	promoter	[b0484]	511380	0					0.0			28.30885757399053	-8.181174514997334e-07	0.09852322009545036
PM0-3303	511573	511640	1	promoter	[b0486, b0485]	511573	0					0.0			28.30885757399053	-8.181174514997334e-07	0.09852240197799886
b0485	511641	512573	1	gene		511641	0	P77454				0.017911945107084437			28.32676951909761	8.728821035401472e-05	0.09852158386054735
b0486	512576	513868	1	gene		512576	0	P77400				0.017911945107084437			28.344681464204697	-8.181174514997334e-07	0.09860887207090137
b0487	513993	514400	1	gene		513993	0	P0A9G4	HTH-type transcriptional regulator CueR OS=Escherichia coli (strain K12) GN=cueR PE=1 SV=1	cueR	Cytoplasm	0.001223313736834616	0.0012930893523953985	0.0012311827427650293	28.34590477794153	2.473876695300637e-05	0.09860805395344986
b0488	514401	514859	-1	gene		514401	0	P0AAS3				0.017911945107084437			28.36381672304861	-8.181174514997334e-07	0.09863279272040287
b0489	514856	515773	-1	gene		514859	0	P0AA53	Protein QmcA OS=Escherichia coli (strain K12) GN=qmcA PE=1 SV=1	qmcA	Cell inner membrane	0.0005191539018214137	0.000518529336179746	0.0008896396530900557	28.364335876950435	2.6697818804056223e-05	0.09863197460295137
PM0-36228	515774	515823	-1	promoter	[b0489, b0488]	515774	0					0.0			28.364335876950435	-8.181174514997334e-07	0.09865867242175543
PM0-36229	515903	515918	1	promoter	[b0491, b0490]	515903	0					0.0			28.364335876950435	-8.181174514997334e-07	0.09865785430430392
b0490	515919	516596	1	gene		515919	0	P77279	Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1	fetA	Cell inner membrane	0.002811543444087193	0.003055441616489617	0.002947180377323312	28.36714742039452	-8.181174514997334e-07	0.09865703618685241
b0491	516583	517362	1	gene		516596	0	P77307				0.017911945107084437			28.385059365501604	1.1451279388815586e-05	0.0986562180694009
b0492	517425	518279	-1	gene		517425	0	P77395	Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2	ybbN	Cytoplasm	0.1481812492506711	0.14194082455373092	0.1340584910210104	28.533240614752284	3.2804783950311656e-05	0.09866766934878972
PM0-8737	518280	518490	-1	promoter	[b0492]	518280	0					0.0			28.533240614752284	-8.181174514997334e-07	0.09870047413274002
b0493	518340	519149	-1	gene		518490	0	P0AFP4				0.017911945107084437			28.55115255985936	2.429962799656884e-05	0.09869965601528852
b0494	519139	519765	-1	gene		519149	0	P0ADA1	Acyl-CoA thioesterase I OS=Escherichia coli (strain K12) GN=tesA PE=1 SV=1	tesA	Periplasm	0.006325289300624528	0.00658414542916724	0.006869106759866047	28.557477849159984	2.9441231496946133e-05	0.09872395564328508
b0495	519733	520419	1	gene		519765	0	P0A9T8				0.017911945107084437			28.57538979426707	-8.181174514997334e-07	0.09875339687478203
PM00584	519766	519949	-1	promoter	[b0493, b0494]	520419	1					0.0			28.57538979426707	-8.181174514997334e-07	0.09875257875733053
b0496	520416	522830	1	gene		520419	0	P77504	Uncharacterized ABC transporter permease ybbP OS=Escherichia coli (strain K12) GN=ybbP PE=3 SV=1	ybbP	Cell membrane	0.0012644872599727873	0.0015676347258010766	0.0021802364242452586	28.576654281527038	1.9234159727023165e-05	0.09875176063987902
b0497	523261	527541	1	gene		523261	0	P16919				0.017911945107084437			28.594566226634125	-8.181174514997334e-07	0.09877099479960604
b0498	527581	527949	1	gene		527581	0	P33668				0.017911945107084437			28.61247817174121	-8.181174514997334e-07	0.09877017668215453
b0499	527952	528659	1	gene		527952	0	P77759				0.017911945107084437			28.630390116848286	-8.181174514997334e-07	0.09876935856470302
b0501	528640	529130	1	gene		528659	0					0.017911945107084437			28.648302061955377	-8.181174514997334e-07	0.09876854044725152
b4632	529500	529592	1	gene		529500	0					0.017911945107084437			28.666214007062457	-8.181174514997334e-07	0.09876772232980001
b0502	529595	530016	-1	gene		529595	0	P77688				0.017911945107084437			28.68412595216955	-8.181174514997334e-07	0.0987669042123485
b0503	530132	531226	-1	gene		530132	0	P33667				0.017911945107084437			28.70203789727663	-8.181174514997334e-07	0.098766086094897
b0504	531295	532221	-1	gene		531295	0	P0ACR0				0.017911945107084437			28.719949842383713	-8.181174514997334e-07	0.09876526797744549
