gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbudance
b1056	1117901	1118476	-1	gene		1117901	0	P0A8X2	Protein yceI OS=Escherichia coli (strain K12) GN=yceI PE=1 SV=1	yceI	20881.61917	1375.3157136661632	28718818.971293587	38901830057.27545
b1057	1118480	1119046	-1	gene		1118480	0	P75925					5809958.571344681	38907640015.846794
PM0-9723	1119047	1119071	-1	promoter	[b1057, b1056]	1119047	0						5809958.571344681	38913449974.41814
b1058	1119307	1119447	-1	gene		1119307	0	P64442					5809958.571344681	38919259932.98948
b1059	1119468	1120586	-1	gene		1119468	0	P40874	N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1	solA	40858.33116	1020.0377937499301	41677041.972750425	38960936974.96223
PM0-10016	1120587	1120609	-1	promoter	[b1059, b1058]	1120587	0						5809958.571344681	38966746933.53357
b1060	1120701	1120955	-1	gene		1120701	0	P0AB33					5809958.571344681	38972556892.10491
PM0-8732	1120956	1121058	-1	promoter	[b1060]	1120956	0						5809958.571344681	38978366850.676254
b1061	1121242	1121487	-1	gene		1121242	0	P0ABR1	DNA-damage-inducible protein I OS=Escherichia coli (strain K12) GN=dinI PE=1 SV=1	dinI	8925.50991	118.45255740070644	1057249.4749448493	38979424100.1512
PM0-10244	1121488	1121509	-1	promoter	[b1061]	1121488	0						5809958.571344681	38985234058.72254
b1062	1121561	1122607	-1	gene		1121561	0	P05020	Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2	pyrC	38784.58103	4084.780988163215	158426519.2252197	39143660577.94776
PM00083	1122608	1122643	-1	promoter	[b1062]	1122608	0						5809958.571344681	39149470536.519104
b1063	1122713	1123273	-1	gene		1122713	0	P0AB26	Uncharacterized lipoprotein yceB OS=Escherichia coli (strain K12) GN=yceB PE=1 SV=1	yceB	20468.68601	386.09240217537285	7902804.150974348	39157373340.67008
b1064	1123407	1124054	-1	gene		1123407	0						5809958.571344681	39163183299.241425
PM0-36215	1124055	1124103	-1	promoter	[b1064]	1124055	0						5809958.571344681	39168993257.81277
b1065	1124118	1125326	-1	gene		1124118	0	P69367					5809958.571344681	39174803216.38411
PM0-8661	1125522	1125561	1	promoter	[b1066]	1125522	0						5809958.571344681	39180613174.95545
b1066	1125562	1126146	1	gene		1125562	0	P0A948					5809958.571344681	39186423133.526794
b1067	1126157	1126804	1	gene		1126157	0	P29217	UPF0502 protein yceH OS=Escherichia coli (strain K12) GN=yceH PE=1 SV=3	yceH	24144.21298	636.5330137941479	15368588.653847186	39201791722.18064
b1068	1126806	1127729	1	gene		1126806	0	P75931	Virulence factor mviM homolog OS=Escherichia coli (strain K12) GN=mviM PE=1 SV=1	mviM	33642.19711	16.32384035327964	549169.8547572057	39202340892.0354
b1069	1127839	1129374	1	gene		1127839	0	P0AF16					5809958.571344681	39208150850.60674
b1070	1129414	1129830	-1	gene		1129414	0	P43533	Flagella synthesis protein flgN OS=Escherichia coli (strain K12) GN=flgN PE=3 SV=2	flgN	15839.03181	1213.304794765729	19217573.2395199	39227368423.84626
b1071	1129835	1130128	-1	gene		1129835	0	P0AEM4	Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1	flgM	10316.29653	889.1536657087405	9172772.87618786	39236541196.72245
PM0-1725	1130129	1130165	-1	promoter	[b1070, b1071]	1130129	0						5809958.571344681	39242351155.29379
b1072	1130204	1130863	-1	gene		1130204	0	P75933	Flagella basal body P-ring formation protein flgA OS=Escherichia coli (strain K12) GN=flgA PE=3 SV=1	flgA	23486.51577	123.87390514535656	2909366.4266879014	39245260521.72048
PM-8782	1130864	1130885	-1	promoter	[b1070, b1071, b1072]	1130864	0						5809958.571344681	39251070480.291824
PM-8783	1130993	1131017	1	promoter	[b1073, b1074, b1075, b1076, b1077, b1078, b1079, b1080, b1081]	1130993	0						5809958.571344681	39256880438.86317
b1073	1131018	1131434	1	gene		1131018	0	P0ABW9	Flagellar basal-body rod protein flgB OS=Escherichia coli (strain K12) GN=flgB PE=3 SV=2	flgB	15212.60113	128.35146565457367	1952559.6514539234	39258832998.51462
b1074	1131438	1131842	1	gene		1131438	0	P0ABX2	Flagellar basal-body rod protein flgC OS=Escherichia coli (strain K12) GN=flgC PE=3 SV=1	flgC	13941.10886	115.1516221426718	1605341.299696574	39260438339.814316
b1075	1131854	1132549	1	gene		1131854	0	P75936	Basal-body rod modification protein flgD OS=Escherichia coli (strain K12) GN=flgD PE=3 SV=1	flgD	23542.80991	720.1603461226758	16954598.13348596	39277392937.9478
b1076	1132574	1133782	1	gene		1132574	0	P75937	Flagellar hook protein flgE OS=Escherichia coli (strain K12) GN=flgE PE=1 SV=3	flgE	42001.46398	841.3729046602948	35338893.748837344	39312731831.69664
b1077	1133802	1134557	1	gene		1133802	0	P75938	Flagellar basal-body rod protein flgF OS=Escherichia coli (strain K12) GN=flgF PE=3 SV=1	flgF	25878.01906	34.709259926558666	898206.8899379793	39313630038.58658
b1078	1134729	1135511	1	gene		1134729	0	P0ABX5	Flagellar basal-body rod protein flgG OS=Escherichia coli (strain K12) GN=flgG PE=3 SV=1	flgG	27708.90429	251.4307654203763	6966871.014594648	39320596909.60117
b1079	1135564	1136262	1	gene		1135564	0	P0A6S0	Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1	flgH	24582.36131	733.9690710126582	18042692.893998213	39338639602.49517
b1080	1136274	1137371	1	gene		1136274	0	P0A6S3	Flagellar P-ring protein OS=Escherichia coli (strain K12) GN=flgI PE=3 SV=1	flgI	38127.74883	14.678405537063517	559654.559542039	39339199257.05471
b1081	1137371	1138312	1	gene		1137371	0	P75942					5809958.571344681	39345009215.62605
PM0-1726	1138351	1138377	1	promoter	[b1083, b1082]	1138351	0						5809958.571344681	39350819174.197395
b1082	1138378	1140021	1	gene		1138378	0	P33235	Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=1 SV=3	flgK	57876.71992	323.11246599668675	18700689.697150763	39369519863.89455
b1083	1140033	1140986	1	gene		1140033	0	P29744	Flagellar hook-associated protein 3 OS=Escherichia coli (strain K12) GN=flgL PE=1 SV=2	flgL	34241.85308	322.87321989262335	11055777.359029742	39380575641.25358
b1084	1141182	1144367	-1	gene		1141182	0	P21513	Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6	rne	118106.8771	596.6232883762617	70465313.395253	39451040954.648834
PM0-9364	1144368	1144873	-1	promoter	[b1084]	1144368	0						5809958.571344681	39456850913.22018
b1085	1144502	1144822	1	gene		1144873	1	P62066					5809958.571344681	39462660871.79152
b1086	1144940	1145899	1	gene		1144940	0	P0AA39	Ribosomal large subunit pseudouridine synthase C OS=Escherichia coli (strain K12) GN=rluC PE=1 SV=1	rluC	35986.35384	136.58592569918068	4915229.451774666	39467576101.24329
b1087	1146011	1146595	-1	gene		1146011	0	P0A729	Maf-like protein yceF OS=Escherichia coli (strain K12) GN=yceF PE=3 SV=1	yceF	21659.17378	209.39894121279633	4535408.05707596	39472111509.30037
PM0-9595	1146589	1146588	1	promoter	[b4418]	1146595	1						5809958.571344681	39477921467.87171
b4418	1146589	1146757	1	gene		1146595	0						5809958.571344681	39483731426.443054
PM00363	1146649	1146793	1	promoter	[b1089, b1088]	1146757	0						5809958.571344681	39489541385.0144
b1088	1146794	1147315	1	gene		1146794	0	P0AB28	Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1	yceD	19284.5742	968.4762783263762	18676652.650324855	39508218037.66472
PM0-10020	1147338	1147366	1	promoter	[b1093, b1092, b1091, b1090, b1089]	1147338	0						5809958.571344681	39514027996.23606
b1089	1147367	1147540	1	gene		1147367	0	P0A7N4	50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2	rpmF	6424.42095	30574.436196851122	196423048.43748868	39710451044.67355
PM0-46337	1147577	1147620	1	promoter	[b1093, b1092, b1091, b1090]	1147577	0						5809958.571344681	39716261003.244896
b1090	1147621	1148691	1	gene		1147621	0	P27247	Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2	plsX	38172.48086	29.814965110112848	1138111.1850073505	39717399114.4299
PM0-46277	1148516	1148758	1	promoter	[b1091, b1092, b1093]	1148691	0						5809958.571344681	39723209073.00124
b1091	1148759	1149712	1	gene		1148759	0	P0A6R0	3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1	fabH	33475.97062	1621.1624670298277	54269987.11653723	39777479060.11778
b1092	1149728	1150657	1	gene		1149728	0	P0AAI9	Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2	fabD	32378.37752	2891.015352082104	93606386.48583008	39871085446.603615
b1093	1150670	1151404	1	gene		1150670	0	P0AEK2	3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1	fabG	25526.19579	4103.463887719269	104745822.61511666	39975831269.218735
PM541	1151575	1151614	1	promoter	[b1095, b1094]	1151575	0						5809958.571344681	39981641227.79008
b1094	1151615	1151851	1	gene		1151615	0						5809958.571344681	39987451186.36142
b1095	1151939	1153180	1	gene		1151939	0	P0AAI5	3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2	fabF	43000.55275	2332.8932550530362	100315699.47402729	40087766885.83545
b1096	1153300	1154109	1	gene		1153300	0	P28305					5809958.571344681	40093576844.40679
b1097	1154112	1155134	1	gene		1154112	0	P28306	UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2	yceG	38205.32134	7.417656891801281	283393.9651411336	40093860238.37193
b1098	1155124	1155765	1	gene		1155134	0	P0A720	Thymidylate kinase OS=Escherichia coli (strain K12) GN=tmk PE=1 SV=1	tmk	23750.43554	146.472616069961	3478788.4263447765	40097339026.79828
b1099	1155762	1156766	1	gene		1155765	0	P28631	DNA polymerase III subunit delta' OS=Escherichia coli (strain K12) GN=holB PE=1 SV=2	holB	36895.11788	11.356674893606293	419005.85892444063	40097758032.6572
b1100	1156777	1157574	1	gene		1156777	0	P0AFQ7	Uncharacterized deoxyribonuclease ycfH OS=Escherichia coli (strain K12) GN=ycfH PE=1 SV=1	ycfH	29772.09642	31.756014679797552	945443.1309618682	40098703475.78816
PM0-1302	1157626	1157868	1	promoter	[b1101]	1157626	0						5809958.571344681	40104513434.359505
b1101	1157869	1159302	1	gene		1157869	0						5809958.571344681	40110323392.93085
b1102	1159362	1161551	-1	gene		1159362	0	P16869	FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2	fhuE	81164.0738	12.235700218670233	993099.275542827	40111316492.20639
PM0-2761	1161552	1161647	-1	promoter	[b1102]	1161552	0						5809958.571344681	40117126450.77773
b1103	1161885	1162244	1	gene		1161885	0	P0ACE7	HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1	hinT	13214.88763	1659.593166987936	21931337.2132614	40139057787.991
b1104	1162247	1162624	1	gene		1162247	0	P75946					5809958.571344681	40144867746.56234
b1105	1162638	1163279	1	gene		1162638	0	P0AB38	Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) GN=lpoB PE=1 SV=1	lpoB	22483.39362	625.7199560189885	14068308.067064006	40158936054.6294
b1106	1163260	1164084	1	gene		1163279	0	P75948					5809958.571344681	40164746013.200745
b1107	1164095	1165120	1	gene		1164095	0	P75949					5809958.571344681	40170555971.77209
b1108	1165143	1165685	1	gene		1165143	0	P0A8E1	UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1	ycfP	21194.6877	588.5295480327939	12473699.972777214	40183029671.744865
PM00218	1165992	1166084	1	promoter	[b1109]	1165992	0						5809958.571344681	40188839630.31621
b1109	1166085	1167389	1	gene		1166085	0	P00393	NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2	ndh	47310.63259	498.1164917228785	23566206.326920882	40212405836.64313
b1110	1167599	1168138	1	gene		1167599	0	P0AB35					5809958.571344681	40218215795.21447
b1111	1168200	1168832	-1	gene		1168200	0	P75952					5809958.571344681	40224025753.78581
PM0-36234	1168833	1168844	-1	promoter	[b1111]	1168833	0						5809958.571344681	40229835712.357155
PM0-44753	1169019	1169072	1	promoter	[b1112]	1169019	0						5809958.571344681	40235645670.9285
b1112	1169073	1169330	1	gene		1169073	0	P0AB40					5809958.571344681	40241455629.49984
b1113	1169412	1170374	-1	gene		1169412	0	P75954	Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1	ycfS	34596.11664	24.430963738642554	845216.4711296883	40242300845.97097
PM0-9396	1170375	1170417	-1	promoter	[b1113]	1170375	0						5809958.571344681	40248110804.54231
b1114	1170518	1173964	-1	gene		1170518	0	P30958	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2	mfd	129883.2773	34.45958338151366	4475723.62398361	40252586528.1663
PM0-2261	1173965	1174028	-1	promoter	[b1114]	1173965	0						5809958.571344681	40258396486.73764
b1115	1174092	1175165	-1	gene		1174092	0	P75955					5809958.571344681	40264206445.30898
b1116	1175427	1176626	1	gene		1175427	0	P0ADC3	Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli (strain K12) GN=lolC PE=1 SV=1	lolC	43217.91251	30.68951681928063	1326336.8528698438	40265532782.16185
b1117	1176619	1177320	1	gene		1176626	0	P75957	Lipoprotein-releasing system ATP-binding protein LolD OS=Escherichia coli (strain K12) GN=lolD PE=1 SV=2	lolD	25404.21205	446.0021391465873	11330332.91763351	40276863115.07948
b1118	1177320	1178564	1	gene		1177320	0	P75958					5809958.571344681	40282673073.650826
b1119	1178593	1179504	1	gene		1178593	0	P75959	N-acetyl-D-glucosamine kinase OS=Escherichia coli (strain K12) GN=nagK PE=1 SV=1	nagK	33003.5642	20.893843305511613	689571.2989181927	40283362644.949745
b1120	1179631	1180359	1	gene		1179631	0	P75960	NAD-dependent deacetylase OS=Escherichia coli (strain K12) GN=cobB PE=1 SV=2	cobB	26681.42664	769.2657088423247	20525106.577144086	40303887751.526886
b1121	1180479	1181267	-1	gene		1180479	0	P75961					5809958.571344681	40309697710.09823
b1122	1181264	1181725	-1	gene		1181267	0	P75962					5809958.571344681	40315507668.66957
b1123	1181783	1182829	-1	gene		1181783	0	P0AFK9	Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1	potD	38824.47978	2743.9124904943583	106530975.00528766	40422038643.67486
b1124	1182826	1183620	-1	gene		1182829	0	P0AFK6	Spermidine/putrescine transport system permease protein potC OS=Escherichia coli (strain K12) GN=potC PE=3 SV=1	potC	29073.66195	21.887213674496596	636341.4513997314	40422674985.12626
b1125	1183617	1184444	-1	gene		1183620	0	P0AFK4	Spermidine/putrescine transport system permease protein potB OS=Escherichia coli (strain K12) GN=potB PE=1 SV=1	potB	31023.24954	3.6440644183394717	113050.71978998039	40422788035.84605
b1126	1184458	1185594	-1	gene		1184458	0	P69874	Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1	potA	42982.98678	302.95951903580584	13022105.0015912	40435810140.84764
PM0-8926	1185823	1185843	1	promoter	[b1127]	1185823	0						5809958.571344681	40441620099.41898
b1127	1185844	1187070	1	gene		1185844	0	P29745	Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2	pepT	44876.79994	149.51788853771157	6709884.371358101	40448329983.790344
b1128	1187119	1188240	-1	gene		1187119	0	P27431	Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2	ycfD	42534.03822	664.0002689010013	28242612.81552547	40476572596.60587
b1129	1188316	1189776	-1	gene		1188316	0	P23837					5809958.571344681	40482382555.177216
b1130	1189776	1190447	-1	gene		1189776	0						5809958.571344681	40488192513.74856
PM0-44765	1189777	1189940	-1	promoter	[b1129]	1190447	1						5809958.571344681	40494002472.3199
PM67	1190448	1190508	-1	promoter	[b1129, b1130]	1190448	0						5809958.571344681	40499812430.89124
b1131	1190616	1191986	-1	gene		1190616	0	P0AB89	Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1	purB	51492.59536	1802.4409690162367	92812363.47783938	40592624794.36908
b1132	1191990	1192631	-1	gene		1191990	0	P25746	High frequency lysogenization protein hflD OS=Escherichia coli (strain K12) GN=hflD PE=1 SV=1	hflD	22915.1599	108.87334724114271	2494850.160879009	40595119644.52996
PM00515	1192632	1192686	-1	promoter	[b1131, b1132]	1192632	0						5809958.571344681	40600929603.1013
b1133	1192667	1193773	-1	gene		1192686	0	P25745	tRNA-specific 2-thiouridylase mnmA OS=Escherichia coli (strain K12) GN=mnmA PE=1 SV=4	mnmA	40915.58427	588.729487036667	24088210.939082623	40625017814.04038
b1134	1193827	1194288	-1	gene		1193827	0	P0AEI6	Phosphatase nudJ OS=Escherichia coli (strain K12) GN=nudJ PE=1 SV=1	nudJ	17403.64618	8.485151154409245	147672.56847515705	40625165486.60886
b1135	1194298	1194951	-1	gene		1194298	0	P75966					5809958.571344681	40630975445.1802
PM00575	1194961	1195122	1	promoter	[b1136]	1194961	0						5809958.571344681	40636785403.75154
b1136	1195123	1196373	1	gene		1195123	0	P08200	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	icd	45709.46787	37682.15512612152	1722431259.0098076	42359216662.76135
b1137	1196867	1197532	-1	gene		1196867	0	P75967					5809958.571344681	42365026621.332695
b1138	1197533	1198237	-1	gene		1197533	0	P75968					5809958.571344681	42370836579.90404
b1139	1198695	1199588	1	gene		1198695	0	P11072					5809958.571344681	42376646538.47538
b1140	1199679	1200806	-1	gene		1199679	0	P75969					5809958.571344681	42382456497.04672
b1141	1200787	1201032	-1	gene		1200806	0	P75970					5809958.571344681	42388266455.618065
b1143	1201497	1201838	1	gene		1201497	0	P75972					5809958.571344681	42394076414.18941
b1144	1201776	1202084	-1	gene		1201838	0	P75973					5809958.571344681	42399886372.76075
b1145	1202259	1202933	-1	gene		1202259	0	P75974					5809958.571344681	42405696331.33209
b1146	1203024	1203224	1	gene		1203024	0	P75975					5809958.571344681	42411506289.903435
b1147	1203268	1203825	1	gene		1203268	0	P75976					5809958.571344681	42417316248.47478
b1148	1203822	1204160	1	gene		1203825	0	P75977					5809958.571344681	42423126207.04612
b4692	1204170	1204403	1	gene		1204170	0						5809958.571344681	42428936165.61746
b4693	1204404	1205537	1	gene		1204404	0						5809958.571344681	42434746124.188805
b1150	1205549	1205731	1	gene		1205549	0	P75979					5809958.571344681	42440556082.76015
b1151	1205731	1206142	1	gene		1205731	0	P75980					5809958.571344681	42446366041.33149
b1152	1206143	1206922	1	gene		1206143	0	P75981					5809958.571344681	42452175999.90283
b1153	1206913	1207497	1	gene		1206922	0	P75982					5809958.571344681	42457985958.474174
b1154	1207501	1208130	1	gene		1207501	0	P45581					5809958.571344681	42463795917.04552
b1155	1208132	1208545	1	gene		1208132	0	P09154					5809958.571344681	42469605875.61686
b1156	1208517	1209119	-1	gene		1208545	0	P09153					5809958.571344681	42475415834.1882
b1157	1209119	1209619	-1	gene		1209119	0	P33227					5809958.571344681	42481225792.759544
b1158	1209685	1210239	1	gene		1209685	0	P03014					5809958.571344681	42487035751.33089
b1159	1210346	1211179	1	gene		1210346	0	P24200					5809958.571344681	42492845709.90223
b4519	1211413	1211577	1	gene		1211413	0						5809958.571344681	42498655668.47357
b1160	1211680	1212003	-1	gene		1211680	0	P75987					5809958.571344681	42504465627.044914
PM0-36194	1212004	1212123	-1	promoter	[b1, b1160]	1212004	0						5809958.571344681	42510275585.61626
b1161	1212703	1213107	-1	gene		1212703	0	P75988					5809958.571344681	42516085544.1876
b1162	1213328	1214059	-1	gene		1213328	0	P75989					5809958.571344681	42521895502.75894
PM0-10022	1214060	1214113	-1	promoter	[b1162]	1214060	0						5809958.571344681	42527705461.330284
b1163	1214264	1215475	-1	gene		1214264	0	P75990					5809958.571344681	42533515419.90163
PM0-46215	1215476	1215506	-1	promoter	[b1163]	1215476	0						5809958.571344681	42539325378.47297
PM0-10543	1215752	1215788	1	promoter	[b1167, b1166, b1165, b1164]	1215752	0						5809958.571344681	42545135337.04431
b1164	1215789	1216025	1	gene		1215789	0	P75991					5809958.571344681	42550945295.615654
b1165	1216068	1216340	1	gene		1216068	0	P75992					5809958.571344681	42556755254.187
b1166	1216369	1216635	1	gene		1216369	0	P75993					5809958.571344681	42562565212.75834
b1167	1216748	1216996	1	gene		1216748	0	P75994					5809958.571344681	42568375171.32968
b1168	1217328	1218851	1	gene		1217328	0	P75995					5809958.571344681	42574185129.901024
b4520	1218983	1219201	1	gene		1218983	0	P58034					5809958.571344681	42579995088.47237
b4491	1219601	1222248	1	gene		1219601	0						5809958.571344681	42585805047.04371
b1171	1222305	1222634	-1	gene		1222305	0	P0AB46					5809958.571344681	42591615005.61505
b1172	1222644	1222988	-1	gene		1222644	0	Q7DFV3	UPF0757 protein ymgG OS=Escherichia coli (strain K12) GN=ymgG PE=3 SV=5	ymgG	10781.94766	9.8239409337035	105921.21696212268	42591720926.832016
b4593	1222990	1223163	-1	gene		1222990	0	A5A611					5809958.571344681	42597530885.40336
b4594	1223264	1223449	1	gene		1223264	0	A5A612					5809958.571344681	42603340843.9747
b4521	1223564	1223907	1	gene		1223564	0	P76000					5809958.571344681	42609150802.54604
b1174	1224279	1224545	-1	gene		1224279	0	P0A734	Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1	minE	10210.47912	1845.749222269329	18845983.89473722	42627996786.44078
b1175	1224549	1225361	-1	gene		1224549	0	P0AEZ3	Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2	minD	29577.61181	2460.378270720923	72772113.39714254	42700768899.83792
b1176	1225385	1226080	-1	gene		1225385	0	P18196	Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1	minC	24741.87589	139.20156900090987	3444107.9439137834	42704213007.78184
b1177	1226600	1226968	1	gene		1226600	0	P76001	Uncharacterized protein ycgJ OS=Escherichia coli (strain K12) GN=ycgJ PE=4 SV=1	ycgJ	13387.27341	8.356186251369552	111866.55001196718	42704324874.33185
b1178	1227071	1227472	-1	gene		1227071	0	P76002	Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1	ycgK	14878.71052	194.47311556738129	2893509.1904495717	42707218383.5223
PM0-10023	1227609	1227680	1	promoter	[b1179]	1227609	0						5809958.571344681	42713028342.09364
b1179	1227714	1228007	1	gene		1227714	0	P0AB43	UPF0745 protein YcgL OS=Escherichia coli (strain K12) GN=ycgL PE=1 SV=2	ycgL	11221.80465	92.69176557830889	1040168.8859833766	42714068510.97963
b1180	1228079	1228738	1	gene		1228079	0	P76004	Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1	ycgM	23678.10998	217.5140559411974	5150321.738771545	42719218832.7184
b1181	1228815	1229276	1	gene		1228815	0	P0A8L5					5809958.571344681	42725028791.28974
b1182	1229483	1230394	-1	gene		1229483	0	P77335					5809958.571344681	42730838749.861084
PM681	1230395	1230466	-1	promoter	[b1182]	1230395	0						5809958.571344681	42736648708.43243
PM00251	1230738	1230766	1	promoter	[b1183, b1184]	1230738	0						5809958.571344681	42742458667.00377
b1183	1230767	1231186	1	gene		1230767	0	P0AG11					5809958.571344681	42748268625.57511
b1184	1231186	1232454	1	gene		1231186	0	P04152					5809958.571344681	42754078584.146454
b1185	1232500	1233030	-1	gene		1232500	0						5809958.571344681	42759888542.7178
b1186	1233176	1234717	-1	gene		1233176	0	P0AFA7	Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1	nhaB	56673.40997	7.311475904493397	414366.27142113086	42760302908.98922
PM0-10352	1234905	1234937	1	promoter	[b1187]	1234905	0						5809958.571344681	42766112867.56056
b1187	1234938	1235657	1	gene		1234938	0	P0A8V6	Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2	fadR	26933.91284	360.3033510616712	9704379.053454975	42775817246.61401
b1188	1235709	1237241	-1	gene		1235709	0	P29013					5809958.571344681	42781627205.185356
PM0-10025	1237242	1237285	-1	promoter	[b1188]	1237242	0						5809958.571344681	42787437163.7567
PM561	1237509	1237570	1	promoter	[b1190, b1189]	1237509	0						5809958.571344681	42793247122.32804
PM00540	1237525	1237570	1	promoter	[b1189, b1190]	1237570	0						5809958.571344681	42799057080.89938
PM562	1237538	1237570	1	promoter	[b1190, b1189]	1237570	0						5809958.571344681	42804867039.470726
b1189	1237571	1238869	1	gene		1237571	0	P0A6J5	D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1	dadA	47559.0476	47.830852574353685	2274789.794332269	42807141829.26506
b1190	1238879	1239949	1	gene		1238879	0	P29012	Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2	dadX	38801.9209	20.927381781209295	812022.6125185841	42807953851.87758
b1191	1240335	1242071	-1	gene		1240335	0	P76007	Cell volume regulation protein A OS=Escherichia coli (strain K12) GN=cvrA PE=3 SV=2	cvrA	62227.45021	2.7553552477841756	171458.731492352	42808125310.60907
b1192	1242166	1243080	-1	gene		1242166	0	P76008	Murein tetrapeptide carboxypeptidase OS=Escherichia coli (strain K12) GN=ldcA PE=1 SV=1	ldcA	33528.2494	74.90140817744272	2511313.093784499	42810636623.70286
b1193	1243180	1243791	1	gene		1243180	0	P0C960	Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1	emtA	22194.43952	119.87861656767143	2660638.7051524534	42813297262.40801
b1194	1243793	1244527	-1	gene		1243793	0	P76010	Flagellar brake protein YcgR OS=Escherichia coli (strain K12) GN=ycgR PE=1 SV=1	ycgR	27821.75801	734.2814145725118	20428999.82747691	42833726262.23549
PM0-1729	1244528	1244556	-1	promoter	[b1194]	1244528	0						5809958.571344681	42839536220.80683
b1195	1244728	1244982	1	gene		1244728	0	P76011					5809958.571344681	42845346179.378174
b1196	1245160	1245600	1	gene		1245160	0	P76012					5809958.571344681	42851156137.94952
b1197	1245679	1247376	-1	gene		1245679	0	P13482	Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1	treA	63578.54018	13.707898558960697	871528.1793142468	42852027666.12883
PM00365	1247377	1247425	-1	promoter	[b1197]	1247377	0						5809958.571344681	42857837624.70017
b1198	1247696	1249114	-1	gene		1247696	0	P37349	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3	dhaM	51398.26995	238.0309891548477	12234381.037046384	42870072005.73722
b1199	1249125	1249757	-1	gene		1249125	0	P76014	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3	dhaL	22599.29494	38.062395259249726	860183.2965866423	42870932189.033806
b1200	1249768	1250838	-1	gene		1249768	0	P76015	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2	dhaK	38173.13622	300.27718703058986	11462521.964277124	42882394710.998085
PM0-8361	1250839	1250944	-1	promoter	[b1198, b1199, b1200]	1250839	0						5809958.571344681	42888204669.56943
