gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass
b0634	665201	666313	-1	gene		665201	0	P0ABG7				4.591655779049255e-07			26.901040542533384
b0635	666316	668217	-1	gene		666316	0	P0AD65	Penicillin-binding protein 2 OS=Escherichia coli (strain K12) GN=mrdA PE=3 SV=1	mrdA	Cell inner membrane	0.000711126370894913	0.0009115841838243236	0.0008777936565932782	26.90104100169896
b0636	668248	668715	-1	gene		668248	0	P0A8I8	Ribosomal RNA large subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rlmH PE=1 SV=1	rlmH	Cytoplasm	0.001019274623351213	0.001847995951274731	0.0016237541620364722	26.901752128069855
b0637	668719	669036	-1	gene		668719	0	P0AAT6	Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1	rsfS	Cytoplasm	0.0012443041860307417	0.0013213569703402583	0.0013939783790746785	26.902771402693208
PM0-9993	669037	669072	-1	promoter	[b0637, b0636, b0635, b0634, b0633]	669037	0					4.591655779049255e-07			26.90401570687924
b0638	669296	669907	-1	gene		669296	0	P52086				4.591655779049255e-07			26.904016166044816
b0639	669931	670572	-1	gene		669931	0	P0A752				4.591655779049255e-07			26.904016625210392
b0640	670574	671605	-1	gene		670574	0	P28630				4.591655779049255e-07			26.90401708437597
b0641	671605	672186	-1	gene		671605	0	P0ADC1	LPS-assembly lipoprotein lptE OS=Escherichia coli (strain K12) GN=lptE PE=1 SV=1	lptE	Cell outer membrane	0.01087276044133572	0.010698189030365618	0.01170640083954247	26.904017543541546
b0642	672201	674783	-1	gene		672201	0	P07813	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	leuS	Cytoplasm	0.2939756593309805	0.31325791152787863	0.297866018028589	26.914890303982883
PM0-9994	674993	675017	1	promoter	[b0643]	674993	0					4.591655779049255e-07			27.208865963313862
b0643	675018	675500	1	gene		675018	0	P0AAT9				4.591655779049255e-07			27.20886642247944
b0644	675570	676547	-1	gene		675570	0	P77234				4.591655779049255e-07			27.208866881645015
b0645	676711	677418	1	gene		676711	0	P77627				4.591655779049255e-07			27.208867340810592
b0646	677415	678842	1	gene		677418	0	P77381				4.591655779049255e-07			27.20886779997617
b0647	678852	679406	-1	gene		678852	0	P77296				4.591655779049255e-07			27.208868259141745
b0648	679508	680215	1	gene		679508	0	P77427				4.591655779049255e-07			27.208868718307322
b0649	680212	681663	1	gene		680215	0	P77359				4.591655779049255e-07			27.2088691774729
b0650	681723	683393	-1	gene		681723	0	P77319				4.591655779049255e-07			27.208869636638475
b0651	683477	684412	-1	gene		683477	0	P41409				4.591655779049255e-07			27.208870095804052
b0652	684530	685255	-1	gene		684530	0	P0AAG3	Glutamate/aspartate transport ATP-binding protein GltL OS=Escherichia coli (strain K12) GN=gltL PE=3 SV=1	gltL	Cell inner membrane	0.003677900902918552	0.003553441844620743	0.0036409856607864427	27.20887055496963
b0653	685255	685929	-1	gene		685255	0	P0AER5				4.591655779049255e-07			27.212548455872547
b0654	685929	686669	-1	gene		685929	0	P0AER3				4.591655779049255e-07			27.212548915038123
b0655	686839	687747	-1	gene		686839	0	P37902	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	gltI	Periplasm	0.2598407843608204	0.27361764998681665	0.2748282141123472	27.2125493742037
PM-8798	687748	687896	-1	promoter	[b0652, b0653, b0654, b0655]	687748	0					4.591655779049255e-07			27.472390158564522
b0656	687997	689013	-1	gene		687997	0	P0CE51				4.591655779049255e-07			27.4723906177301
b0657	689343	690881	-1	gene		689343	0	P23930	Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1	lnt	Cell inner membrane	0.004073612093837953	0.004467451267315211	0.004499566335653124	27.472391076895676
b0658	690906	691784	-1	gene		690906	0	P0AE78				4.591655779049255e-07			27.476464688989513
b0659	691874	692341	-1	gene		691874	0	P0A898	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	ybeY	Cytoplasm	0.00040773956507184745	0.0008075307460176389	0.00023284714354820512	27.47646514815509
b0660	692338	693378	-1	gene		692341	0	P0A9K3	PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2	ybeZ	Cytoplasm	0.04753445754181308	0.0469186076010537	0.05006110340307414	27.476872887720162
PM0-9722	693379	693469	-1	promoter	[b0657, b0658, b0659, b0660]	693379	0					4.591655779049255e-07			27.524407345261977
b0661	693531	694955	-1	gene		693531	0	P0AEI1	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1	miaB	Cytoplasm	0.08608838948547433	0.08396774683779615	0.08679517567349	27.524407804427554
b0662	695101	696276	1	gene		695101	0	P75728				4.591655779049255e-07			27.61049619391303
b0664	696430	696504	-1	gene		696430	0					4.591655779049255e-07			27.610496653078606
b0665	696542	696616	-1	gene		696542	0					4.591655779049255e-07			27.610497112244182
b0666	696664	696740	-1	gene		696664	0					4.591655779049255e-07			27.61049757140976
b0668	696756	696830	-1	gene		696756	0					4.591655779049255e-07			27.610498030575336
b0670	696865	696939	-1	gene		696865	0					4.591655779049255e-07			27.610498489740912
b0672	696963	697047	-1	gene		696963	0					4.591655779049255e-07			27.61049894890649
b0673	697057	697133	-1	gene		697057	0					4.591655779049255e-07			27.610499408072066
PM00662	697134	697163	-1	promoter	[b0664, b0665, b0666, b0668, b0670, b0672, b0673]	697134	0					4.591655779049255e-07			27.610499867237642
b0674	697513	699177	-1	gene		697513	0	P22106				4.591655779049255e-07			27.61050032640322
PM00344	699178	699222	-1	promoter	[b0674]	699178	0					4.591655779049255e-07			27.610500785568796
b0675	699574	700326	-1	gene		699574	0	P0AF24				4.591655779049255e-07			27.610501244734373
PM00345	700327	700352	-1	promoter	[b0675]	700327	0					4.591655779049255e-07			27.61050170389995
b0676	700374	701594	-1	gene		700374	0	P0AF20				4.591655779049255e-07			27.610502163065526
PM0-9708	701595	702008	-1	promoter	[b0676]	701595	0					4.591655779049255e-07			27.610502622231103
b0677	701603	702751	-1	gene		702008	0	P0AF18				4.591655779049255e-07			27.61050308139668
PM0-8185	702752	703175	-1	promoter	[b0677]	702752	0					4.591655779049255e-07			27.610503540562256
b0678	702811	703611	-1	gene		703175	0	P0A759				4.591655779049255e-07			27.610503999727833
PM00058	703612	703708	-1	promoter	[b0675, b0676, b0677, b0678]	703612	0					4.591655779049255e-07			27.61050445889341
PM0-4621	703840	703943	1	promoter	[b0679]	703840	0					4.591655779049255e-07			27.610504918058986
b0679	703944	705890	1	gene		703944	0	P09323	PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1	nagE	Cell inner membrane	0.03335284497000098	0.030179779295152385	0.02962030655328159	27.610505377224563
PM0-9716	705999	706092	1	promoter	[b0680]	705999	0					4.591655779049255e-07			27.643858222194563
b0680	706093	707757	1	gene		706093	0	P00962	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	glnS	Cytoplasm	0.10643265019388558	0.10521401070667574	0.10188735969209699	27.64385868136014
PM0-10382	708236	708333	1	promoter	[b0682, b0681]	708236	0					4.591655779049255e-07			27.750291331554024
b0681	708334	709740	1	gene		708334	0	P75733				4.591655779049255e-07			27.7502917907196
b0682	709790	710116	1	gene		709790	0	P75734				4.591655779049255e-07			27.750292249885177
b0683	710200	710646	-1	gene		710200	0	P0A9A9	Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1	fur	Cytoplasm	0.17649183796363296	0.18074575754467914	0.18081491679275993	27.750292709050754
b4637	710639	710725	-1	gene		710646	0	A8DYP9				4.591655779049255e-07			27.926784547014385
PM00348	710647	710723	-1	promoter	[b0683]	710725	1					4.591655779049255e-07			27.926785006179962
PM0-1441	710726	710829	-1	promoter	[b4637, b0683]	710726	0					4.591655779049255e-07			27.92678546534554
b0684	710935	711465	-1	gene		710935	0					4.591655779049255e-07			27.926785924511115
PM0-1442	711466	711521	-1	promoter	[b4637, b0683, b0684]	711466	0					4.591655779049255e-07			27.926786383676692
b0685	711605	711898	-1	gene		711605	0	P0AAU7				4.591655779049255e-07			27.92678684284227
PM0-10247	711899	711939	-1	promoter	[b0685]	711899	0					4.591655779049255e-07			27.926787302007845
b0686	712038	712802	-1	gene		712038	0	P75736				4.591655779049255e-07			27.926787761173422
PM0-4684	712942	712986	1	promoter	[b0688, b0687]	712942	0					4.591655779049255e-07			27.926788220339
b0687	712987	713532	1	gene		712987	0	P0AFY8	Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1	seqA	Cytoplasm	0.04571027182042893	0.04369092563665545	0.04636571320843773	27.926788679504575
b0688	713558	715198	1	gene		713558	0	P36938	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	pgm	Cytoplasm	0.13015749752721675	0.14012524823494626	0.12491750644527053	27.972498951325004
b0689	715412	715906	1	gene		715412	0	P75737				4.591655779049255e-07			28.102656448852223
b0691	715947	716597	-1	gene		715947	0					4.591655779049255e-07			28.1026569080178
PM0-8758	716598	716641	-1	promoter	[b0691, b0690]	716598	0					4.591655779049255e-07			28.102657367183376
b4636	716721	716870	-1	gene		716721	0					4.591655779049255e-07			28.102657826348953
b0692	716946	718265	-1	gene		716946	0	P0AAF1				4.591655779049255e-07			28.10265828551453
b0693	718262	720460	-1	gene		718265	0	P24169				4.591655779049255e-07			28.102658744680106
b4590	720583	720840	1	gene		720583	0	P46121				4.591655779049255e-07			28.102659203845683
b0694	721056	721733	-1	gene		721056	0					4.591655779049255e-07			28.10265966301126
b0695	721730	724414	-1	gene		721733	0	P21865	Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	kdpD	Cell inner membrane	0.0004170632914305024	0.00046567835151575647	0.0004666594802959187	28.102660122176836
b0696	724407	724979	-1	gene		724414	0	P03961				4.591655779049255e-07			28.103077185468265
b0697	724988	727036	-1	gene		724988	0	P03960				4.591655779049255e-07			28.103077644633842
b0698	727059	728732	-1	gene		727059	0	P03959				4.591655779049255e-07			28.10307810379942
b4513	728732	728821	-1	gene		728732	0	P36937				4.591655779049255e-07			28.103078562964996
PM00044	728822	728849	-1	promoter	[b4513, b0696, b0697, b0698]	728822	0					4.591655779049255e-07			28.103079022130572
b0699	729134	729340	1	gene		729134	0	P0AAU2				4.591655779049255e-07			28.10307948129615
b0700	729583	733776	1	gene		729583	0	P16918				4.591655779049255e-07			28.103079940461726
b0702	733776	734102	1	gene		733776	0	P0AAU5				4.591655779049255e-07			28.103080399627302
b0703	734133	735653	1	gene		734133	0					4.591655779049255e-07			28.10308085879288
b0704	735650	736219	1	gene		735653	0	P28915				4.591655779049255e-07			28.103081317958456
b4514	736445	736684	1	gene		736445	0					4.591655779049255e-07			28.103081777124032
b0705	736825	737961	1	gene		736825	0	P75741				4.591655779049255e-07			28.10308223628961
b0706	738092	738853	1	gene		738092	0	P28916				4.591655779049255e-07			28.103082695455186
PM0-10204	738920	739000	1	promoter	[b0708, b0707]	738920	0					4.591655779049255e-07			28.103083154620762
b0707	739001	739510	1	gene		739001	0	P24252				4.591655779049255e-07			28.10308361378634
PM446	739421	739506	1	promoter	[b0708]	739510	1					4.591655779049255e-07			28.103084072951916
b0708	739507	740925	1	gene		739510	0	P00914				4.591655779049255e-07			28.103084532117492
b0709	741075	742556	-1	gene		741075	0	P75742				4.591655779049255e-07			28.10308499128307
PM0-8841	742619	742826	1	promoter	[b0714, b0713, b0712, b0711, b0710]	742619	0					4.591655779049255e-07			28.103085450448646
PM0-8842	742798	742826	1	promoter	[b0713, b0714, b0712, b0711, b0710]	742826	0					4.591655779049255e-07			28.103085909614222
b0710	742827	743570	1	gene		742827	0	P0AFP6				4.591655779049255e-07			28.1030863687798
b0711	743593	744249	1	gene		743593	0	P0AAV4				4.591655779049255e-07			28.103086827945376
b0712	744243	745175	1	gene		744249	0	P75745				4.591655779049255e-07			28.103087287110952
b0713	745165	745899	1	gene		745175	0	P75746				4.591655779049255e-07			28.10308774627653
b0714	745935	746726	1	gene		745935	0	P50465				4.591655779049255e-07			28.103088205442106
b0715	746723	747769	-1	gene		746726	0	P75747				4.591655779049255e-07			28.103088664607682
b0716	747921	748982	-1	gene		747921	0	P75748				4.591655779049255e-07			28.10308912377326
b0717	748979	749707	-1	gene		748982	0	P75749				4.591655779049255e-07			28.103089582938836
b0718	749722	752169	-1	gene		749722	0	P75750				4.591655779049255e-07			28.103090042104412
b0719	752229	752795	-1	gene		752229	0	P37909				4.591655779049255e-07			28.10309050126999
b0720	753185	754468	-1	gene		753185	0	P0ABH7	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	gltA	Cytoplasm	0.7624893942574272	0.7703153882388473	0.7830960843582775	28.103090960435566
PM00148	754469	754767	-1	promoter	[b0720]	754469	0					4.591655779049255e-07			28.865580354692995
PM00143	754958	755176	1	promoter	[b0721, b0722, b0723, b0724, b0726, b0727, b0728, b0729]	754958	0					4.591655779049255e-07			28.86558081385857
b0721	755177	755566	1	gene		755177	0	P69054	Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli (strain K12) GN=sdhC PE=1 SV=1	sdhC	Cell inner membrane	0.022839292330788605	0.019841898692160468	0.02038342764407047	28.865581273024148
PM00350	755404	755559	1	promoter	[b0724, b0723, b0722]	755566	1					4.591655779049255e-07			28.888420565354938
b0722	755560	755907	1	gene		755566	0	P0AC44	Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1	sdhD	Cell inner membrane	0.0005178033169837237	0.0008098546170878839	0.0006261186393424334	28.888421024520515
b0723	755907	757673	1	gene		755907	0	P0AC41	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	sdhA	Cell inner membrane	0.22257706333818622	0.22280807122052476	0.21903939172873454	28.8889388278375
b0724	757689	758405	1	gene		757689	0	P07014	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	sdhB	Cell inner membrane	0.1149735265181284	0.1101596032632339	0.10784712351229409	29.111515891175685
PM00144	758586	758705	1	promoter	[b0726, b0727, b0728, b0729]	758586	0					4.591655779049255e-07			29.226489417693813
b0726	758706	761507	1	gene		758706	0	P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	sucA	Cytoplasm	0.2973676449449738	0.31063720627178887	0.29133503415985	29.22648987685939
b0727	761522	762739	1	gene		761522	0					4.591655779049255e-07			29.523857521804363
b0728	763014	764180	1	gene		763014	0	P0A836				4.591655779049255e-07			29.52385798096994
b0729	764180	765049	1	gene		764180	0	P0AGE9				4.591655779049255e-07			29.523858440135516
b0730	765153	765875	-1	gene		765153	0	P13669				4.591655779049255e-07			29.523858899301093
PM0-4722	765811	765983	1	promoter	[b0732, b0731]	765875	0					4.591655779049255e-07			29.52385935846667
PM00558	765876	765926	-1	promoter	[b0730]	765983	1					4.591655779049255e-07			29.523859817632246
b0731	765984	767960	1	gene		765984	0	P54745				4.591655779049255e-07			29.523860276797823
b0732	767978	770611	1	gene		767978	0	P54746				4.591655779049255e-07			29.5238607359634
PM00141	771170	771457	1	promoter	[b0733, b0734]	771170	0					4.591655779049255e-07			29.523861195128976
PM0-3341	771202	771457	1	promoter	[b0734, b0733]	771457	0					4.591655779049255e-07			29.523861654294553
b0733	771458	773026	1	gene		771458	0	P0ABJ9	Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1	cydA	Cell inner membrane	0.03325656793684443	0.03560089128531798	0.03303785464150692	29.52386211346013
b0734	773042	774181	1	gene		773042	0	P0ABK2	Cytochrome d ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cydB PE=1 SV=1	cydB	Cell inner membrane	0.0033164705391603823	0.003002515388793811	0.003004254217283287	29.557118681396975
b4515	774196	774309	1	gene		774196	0	P56100				4.591655779049255e-07			29.560435151936137
b0735	774309	774602	1	gene		774309	0	P0AAV0				4.591655779049255e-07			29.560435611101713
b0736	774752	775156	1	gene		774752	0	P0A8Z3				4.591655779049255e-07			29.56043607026729
b0737	775153	775845	1	gene		775156	0	P0ABU9	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	tolQ	Cell inner membrane	0.01145173550321535	0.011360541278589893	0.010679244510166472	29.560436529432867
b0738	775849	776277	1	gene		775849	0	P0ABV6	Protein tolR OS=Escherichia coli (strain K12) GN=tolR PE=1 SV=1	tolR	Cell inner membrane	0.004432059888904789	0.0042771059233643605	0.004844032594572708	29.57188826493608
b0739	776342	777607	1	gene		776342	0	P19934	Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1	tolA	Cell inner membrane	0.003182641825930222	0.0055187725231234845	0.004758425642070255	29.576320324824987
b0740	777740	779032	1	gene		777740	0	P0A855	Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1	tolB	Periplasm	0.12882797350259959	0.1273705563319508	0.13410487814428798	29.579502966650917
b0741	779067	779588	1	gene		779067	0	P0A912	Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1	pal	Cell outer membrane	0.5690610451901471	0.5815431658168112	0.5541115679889274	29.708330940153516
b0742	779598	780389	1	gene		779598	0	P45955				4.591655779049255e-07			30.277391985343662
PM00647	780514	780553	1	promoter	[b0743, b0744, b0745]	780514	0					4.591655779049255e-07			30.27739244450924
b0743	780554	780629	1	gene		780554	0					4.591655779049255e-07			30.277392903674816
b0744	780765	780840	1	gene		780765	0					4.591655779049255e-07			30.277393362840392
b0745	780843	780918	1	gene		780843	0					4.591655779049255e-07			30.27739382200597
b0746	781068	781143	1	gene		781068	0					4.591655779049255e-07			30.277394281171546
b0747	781147	781222	1	gene		781147	0					4.591655779049255e-07			30.277394740337122
b0748	781369	781444	1	gene		781369	0					4.591655779049255e-07			30.2773951995027
b0749	781577	781652	1	gene		781577	0					4.591655779049255e-07			30.277395658668276
PM0-9995	782061	782084	1	promoter	[b0751, b0750]	782061	0					4.591655779049255e-07			30.277396117833852
b0750	782085	783128	1	gene		782085	0	P11458	Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3	nadA	Cytoplasm	0.021915819684800292	0.023335459381637967	0.024117396924471	30.27739657699943
b0751	783166	783885	1	gene		783166	0	P0AFK2	Nicotinamide riboside transporter pnuC OS=Escherichia coli (strain K12) GN=pnuC PE=1 SV=1	pnuC	Cell inner membrane	0.0022284021339663285	0.0026834185079413677	0.0027384459886221745	30.29931239668423
b0752	783882	784823	-1	gene		783885	0	P75757				4.591655779049255e-07			30.301540798818195
b0753	784937	785317	-1	gene		784937	0	P0AAV6				4.591655779049255e-07			30.30154125798377
PM00011	785591	785632	1	promoter	[b0754]	785591	0					4.591655779049255e-07			30.301541717149348
b0754	785633	786685	1	gene		785633	0	P0AB91				4.591655779049255e-07			30.301542176314925
b0755	786843	787595	-1	gene		786843	0	P62707				4.591655779049255e-07			30.3015426354805
PM0-10556	787596	787670	-1	promoter	[b0755]	787596	0					4.591655779049255e-07			30.301543094646078
b0756	787797	788837	-1	gene		787797	0	P0A9C3	Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1	galM	Cytoplasm	0.08133429255808755	0.07855652042030159	0.0765019044108875	30.301543553811655
b0757	788831	789979	-1	gene		788837	0	P0A6T3	Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2	galK	Cytoplasm	0.029654393755564896	0.025366266740552396	0.023929134751834016	30.38287784636974
PM0-46330	789980	790463	-1	promoter	[b0757]	789980	0					4.591655779049255e-07			30.412532240125305
b0758	789983	791029	-1	gene		790463	0	P09148				4.591655779049255e-07			30.41253269929088
b0759	791039	792055	-1	gene		791039	0	P09147	UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1	galE	Cytoplasm	0.03838115659048194	0.03608904101082318	0.038583985764756204	30.41253315845646
PM0-4785	792056	792177	-1	promoter	[b0756, b0757, b0758, b0759]	792056	0					4.591655779049255e-07			30.45091431504694
b0760	792316	793788	-1	gene		792316	0	P31060	Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2	modF	Cell inner membrane	0.021046500372858514	0.021847546308673076	0.018651046267447992	30.450914774212517
b0761	793856	794644	-1	gene		793856	0	P0A9G8	Transcriptional regulator modE OS=Escherichia coli (strain K12) GN=modE PE=1 SV=1	modE	Cytoplasm	0.006329989753291339	0.006450918363752866	0.006155096628589641	30.471961274585375
PM0-46235	794751	794772	1	promoter	[b0762]	794751	0					4.591655779049255e-07			30.478291264338665
b0762	794773	794922	1	gene		794773	0	P0AAW9				4.591655779049255e-07			30.478291723504242
PM0-9375	794995	795088	1	promoter	[b0765, b0764, b0763]	794995	0					4.591655779049255e-07			30.47829218266982
PM521	795062	795088	1	promoter	[b0763, b0764, b0765]	795088	0					4.591655779049255e-07			30.478292641835395
b0763	795089	795862	1	gene		795089	0	P37329	Molybdate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=modA PE=1 SV=1	modA	Periplasm	0.03433412942199096	0.03177654998626017	0.0373034769681568	30.478293101000972
b0764	795862	796551	1	gene		795862	0	P0AF01				4.591655779049255e-07			30.512627230422964
b0765	796554	797612	1	gene		796554	0	P09833	Molybdenum import ATP-binding protein ModC OS=Escherichia coli (strain K12) GN=modC PE=1 SV=4	modC	Cell inner membrane	0.0003338516888873621	0.0005326308544764604	0.00041700602551845604	30.51262768958854
b0766	797613	798431	-1	gene		797613	0	P21829				4.591655779049255e-07			30.512961541277427
b0767	798586	799581	1	gene		798586	0	P52697				4.591655779049255e-07			30.512962000443004
b0768	799622	800575	-1	gene		799622	0	P52696				4.591655779049255e-07			30.51296245960858
b0769	800759	801811	1	gene		800759	0	P0AAV8				4.591655779049255e-07			30.512962918774157
b0770	801887	803320	1	gene		801887	0	P75763				4.591655779049255e-07			30.512963377939734
b0771	803503	805764	1	gene		803503	0	P75764				4.591655779049255e-07			30.51296383710531
b0772	805998	807281	-1	gene		805998	0	P46130	Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2	ybhC	Cell outer membrane	0.09600751033514436	0.11137929030236415	0.10527462178345086	30.512964296270887
PM0-9874	807282	807321	-1	promoter	[b0772]	807282	0					4.591655779049255e-07			30.608971806606032
b0773	807433	807909	-1	gene		807433	0	P12994	UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2	ybhB	Cytoplasm	0.008995932320292612	0.008429505734871454	0.008947888310962111	30.60897226577161
b0774	807968	809257	-1	gene		807968	0	P12995	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2	bioA	Cytoplasm	0.010592547998880732	0.010883728002073085	0.011327936437170465	30.6179681980919
PM00015	809258	809292	-1	promoter	[b0774]	809258	0					4.591655779049255e-07			30.62856074609078
PM00016	809302	809343	1	promoter	[b0775, b0776, b0777, b0778]	809302	0					4.591655779049255e-07			30.628561205256357
b0775	809344	810384	1	gene		809344	0	P12996				4.591655779049255e-07			30.628561664421934
b0776	810381	811535	1	gene		810384	0	P12998				4.591655779049255e-07			30.62856212358751
b0777	811522	812277	1	gene		811535	0	P12999				4.591655779049255e-07			30.628562582753087
b0778	812270	812947	1	gene		812277	0	P13000	Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3	bioD	Cytoplasm	0.01762354914289515	0.01761592267779125	0.0203009791554708	30.628563041918664
PM00351	813152	813525	1	promoter	[b0779]	813152	0					4.591655779049255e-07			30.64618659106156
b0779	813526	815547	1	gene		813526	0	P0A8F8	UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2	uvrB	Cytoplasm	0.016951446915105174	0.01899317851350835	0.015676403896225703	30.646187050227137
b0780	815739	816647	-1	gene		815739	0	P75767	UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1	ybhK	Cytoplasm	4.591655779049255e-07	0.00021657373915866197	0.0002467662807118782	30.663138497142242
PM0-1283	816827	817043	1	promoter	[b0781, b0782, b0783, b0784, b0785]	816827	0					4.591655779049255e-07			30.66313895630782
PM0-1284	816914	817043	1	promoter	[b0785, b0784, b0783, b0782, b0781]	817043	0					4.591655779049255e-07			30.663139415473395
b0781	817044	818033	1	gene		817044	0	P30745				4.591655779049255e-07			30.663139874638972
PM0-7602	817977	818054	1	promoter	[b0785, b0784, b0783, b0782]	818033	0					4.591655779049255e-07			30.66314033380455
b0782	818055	818567	1	gene		818055	0	P0AEZ9				4.591655779049255e-07			30.663140792970125
b0783	818570	819055	1	gene		818570	0	P0A738				4.591655779049255e-07			30.663141252135702
b0784	819048	819293	1	gene		819055	0					4.591655779049255e-07			30.66314171130128
b0785	819295	819747	1	gene		819295	0	P30749				4.591655779049255e-07			30.663142170466855
PM0-46349	819858	819883	1	promoter	[b0786]	819858	0					4.591655779049255e-07			30.663142629632432
b0786	819884	820588	1	gene		819884	0	P0AAC4	Inner membrane protein YbhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1	ybhL	Cell inner membrane	0.0028062320047278484	0.002749566346483913	0.0028947258907482173	30.66314308879801
b0787	820793	821506	1	gene		820793	0	P75769				4.591655779049255e-07			30.665949320802735
b0788	821542	822498	-1	gene		821542	0	P75770				4.591655779049255e-07			30.66594977996831
b0789	822498	823739	-1	gene		822498	0	P0AA84				4.591655779049255e-07			30.66595023913389
b0790	823736	824497	-1	gene		823739	0	P0AAW1				4.591655779049255e-07			30.665950698299465
PM0-9996	824601	824629	1	promoter	[b0791]	824601	0					4.591655779049255e-07			30.66595115746504
b0791	824630	825040	1	gene		824630	0	P0AAW5				4.591655779049255e-07			30.66595161663062
b0792	825002	826108	-1	gene		825040	0	P0AFP9				4.591655779049255e-07			30.665952075796195
b0793	826119	827252	-1	gene		826119	0	P0AFQ2				4.591655779049255e-07			30.66595253496177
b0794	827245	828981	-1	gene		827252	0	P0A9U1				4.591655779049255e-07			30.66595299412735
b0795	828974	829972	-1	gene		828981	0	P75777	UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1	ybhG	Periplasm	0.004902414786720994	0.005694578821646306	0.0043988583895240695	30.665953453292925
b0796	829972	830643	-1	gene		829972	0	P0ACU0				4.591655779049255e-07			30.670855868079645
PM0-46366	830644	830669	-1	promoter	[b0796, b0795, b0794, b0793, b0792]	830644	0					4.591655779049255e-07			30.67085632724522
b0797	830872	832236	1	gene		830872	0	P25888	ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3	rhlE	Cytoplasm	0.002104200773469122	0.0016325400148228001	0.002035120267081267	30.6708567864108
b0798	832468	832950	-1	gene		832468	0	P30176				4.591655779049255e-07			30.67296098718427
PM0-6601	833070	833072	1	promoter	[b0800, b0799]	833070	0					4.591655779049255e-07			30.672961446349845
b0799	833070	835220	1	gene		833072	0	P27296				4.591655779049255e-07			30.67296190551542
b0800	835248	836210	1	gene		835248	0	P30177				4.591655779049255e-07			30.672962364681
