gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	kDa/Protein	cumulativeAbundance
b0650	681723	683393	-1	gene		681723	0	P77319							110.73090803705458	76136.78475267878
b0651	683477	684412	-1	gene		683477	0	P41409							110.73090803705458	76247.51566071584
b0652	684530	685255	-1	gene		684530	0	P0AAG3	Glutamate/aspartate transport ATP-binding protein GltL OS=Escherichia coli (strain K12) GN=gltL PE=3 SV=1	gltL	Cell inner membrane	0.003677900902918552	0.003553441844620743	0.0036409856607864427	110.73090803705458	76358.2465687529
b0653	685255	685929	-1	gene		685255	0	P0AER5							110.73090803705458	76468.97747678997
b0654	685929	686669	-1	gene		685929	0	P0AER3							110.73090803705458	76579.70838482703
b0655	686839	687747	-1	gene		686839	0	P37902	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	gltI	Periplasm	0.2598407843608204	0.27361764998681665	0.2748282141123472	110.73090803705458	76690.43929286409
PM-8798	687748	687896	-1	promoter	[b0652, b0653, b0654, b0655]	687748	0								10.0	76801.17020090115
b0656	687997	689013	-1	gene		687997	0	P0CE51							110.73090803705458	76811.17020090115
b0657	689343	690881	-1	gene		689343	0	P23930	Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1	lnt	Cell inner membrane	0.004073612093837953	0.004467451267315211	0.004499566335653124	110.73090803705458	76921.90110893821
b0658	690906	691784	-1	gene		690906	0	P0AE78							110.73090803705458	77032.63201697527
b0659	691874	692341	-1	gene		691874	0	P0A898	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	ybeY	Cytoplasm	0.00040773956507184745	0.0008075307460176389	0.00023284714354820512	110.73090803705458	77143.36292501233
b0660	692338	693378	-1	gene		692341	0	P0A9K3	PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2	ybeZ	Cytoplasm	0.04753445754181308	0.0469186076010537	0.05006110340307414	110.73090803705458	77254.0938330494
PM0-9722	693379	693469	-1	promoter	[b0657, b0658, b0659, b0660]	693379	0								10.0	77364.82474108646
b0661	693531	694955	-1	gene		693531	0	P0AEI1	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1	miaB	Cytoplasm	0.08608838948547433	0.08396774683779615	0.08679517567349	110.73090803705458	77374.82474108646
b0662	695101	696276	1	gene		695101	0	P75728							110.73090803705458	77485.55564912352
b0664	696430	696504	-1	gene		696430	0								110.73090803705458	77596.28655716058
b0665	696542	696616	-1	gene		696542	0								110.73090803705458	77707.01746519764
b0666	696664	696740	-1	gene		696664	0								110.73090803705458	77817.7483732347
b0668	696756	696830	-1	gene		696756	0								110.73090803705458	77928.47928127176
b0670	696865	696939	-1	gene		696865	0								110.73090803705458	78039.21018930883
b0672	696963	697047	-1	gene		696963	0								110.73090803705458	78149.94109734589
b0673	697057	697133	-1	gene		697057	0								110.73090803705458	78260.67200538295
PM00662	697134	697163	-1	promoter	[b0664, b0665, b0666, b0668, b0670, b0672, b0673]	697134	0								10.0	78371.40291342001
b0674	697513	699177	-1	gene		697513	0	P22106							110.73090803705458	78381.40291342001
PM00344	699178	699222	-1	promoter	[b0674]	699178	0								10.0	78492.13382145707
b0675	699574	700326	-1	gene		699574	0	P0AF24							110.73090803705458	78502.13382145707
PM00345	700327	700352	-1	promoter	[b0675]	700327	0								10.0	78612.86472949413
b0676	700374	701594	-1	gene		700374	0	P0AF20							110.73090803705458	78622.86472949413
PM0-9708	701595	702008	-1	promoter	[b0676]	701595	0								10.0	78733.5956375312
b0677	701603	702751	-1	gene		702008	0	P0AF18							110.73090803705458	78743.5956375312
PM0-8185	702752	703175	-1	promoter	[b0677]	702752	0								10.0	78854.32654556826
b0678	702811	703611	-1	gene		703175	0	P0A759							110.73090803705458	78864.32654556826
PM00058	703612	703708	-1	promoter	[b0675, b0676, b0677, b0678]	703612	0								10.0	78975.05745360532
PM0-4621	703840	703943	1	promoter	[b0679]	703840	0								10.0	78985.05745360532
b0679	703944	705890	1	gene		703944	0	P09323	PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1	nagE	Cell inner membrane	0.03335284497000098	0.030179779295152385	0.02962030655328159	110.73090803705458	78995.05745360532
PM0-9716	705999	706092	1	promoter	[b0680]	705999	0								10.0	79105.78836164238
b0680	706093	707757	1	gene		706093	0	P00962	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	glnS	Cytoplasm	0.10643265019388558	0.10521401070667574	0.10188735969209699	110.73090803705458	79115.78836164238
PM0-10382	708236	708333	1	promoter	[b0682, b0681]	708236	0								10.0	79226.51926967944
b0681	708334	709740	1	gene		708334	0	P75733							110.73090803705458	79236.51926967944
b0682	709790	710116	1	gene		709790	0	P75734							110.73090803705458	79347.2501777165
b0683	710200	710646	-1	gene		710200	0	P0A9A9	Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1	fur	Cytoplasm	0.17649183796363296	0.18074575754467914	0.18081491679275993	110.73090803705458	79457.98108575356
b4637	710639	710725	-1	gene		710646	0	A8DYP9							110.73090803705458	79568.71199379062
PM00348	710647	710723	-1	promoter	[b0683]	710725	1								10.0	79679.44290182769
PM0-1441	710726	710829	-1	promoter	[b4637, b0683]	710726	0								10.0	79689.44290182769
b0684	710935	711465	-1	gene		710935	0								110.73090803705458	79699.44290182769
PM0-1442	711466	711521	-1	promoter	[b4637, b0683, b0684]	711466	0								10.0	79810.17380986475
b0685	711605	711898	-1	gene		711605	0	P0AAU7							110.73090803705458	79820.17380986475
PM0-10247	711899	711939	-1	promoter	[b0685]	711899	0								10.0	79930.90471790181
b0686	712038	712802	-1	gene		712038	0	P75736							110.73090803705458	79940.90471790181
PM0-4684	712942	712986	1	promoter	[b0688, b0687]	712942	0								10.0	80051.63562593887
b0687	712987	713532	1	gene		712987	0	P0AFY8	Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1	seqA	Cytoplasm	0.04571027182042893	0.04369092563665545	0.04636571320843773	110.73090803705458	80061.63562593887
b0688	713558	715198	1	gene		713558	0	P36938	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	pgm	Cytoplasm	0.13015749752721675	0.14012524823494626	0.12491750644527053	110.73090803705458	80172.36653397593
b0689	715412	715906	1	gene		715412	0	P75737							110.73090803705458	80283.097442013
b0691	715947	716597	-1	gene		715947	0								110.73090803705458	80393.82835005005
PM0-8758	716598	716641	-1	promoter	[b0691, b0690]	716598	0								10.0	80504.55925808712
b4636	716721	716870	-1	gene		716721	0								110.73090803705458	80514.55925808712
b0692	716946	718265	-1	gene		716946	0	P0AAF1							110.73090803705458	80625.29016612418
b0693	718262	720460	-1	gene		718265	0	P24169							110.73090803705458	80736.02107416124
b4590	720583	720840	1	gene		720583	0	P46121							110.73090803705458	80846.7519821983
b0694	721056	721733	-1	gene		721056	0								110.73090803705458	80957.48289023536
b0695	721730	724414	-1	gene		721733	0	P21865	Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	kdpD	Cell inner membrane	0.0004170632914305024	0.00046567835151575647	0.0004666594802959187	110.73090803705458	81068.21379827242
b0696	724407	724979	-1	gene		724414	0	P03961							110.73090803705458	81178.94470630948
b0697	724988	727036	-1	gene		724988	0	P03960							110.73090803705458	81289.67561434655
b0698	727059	728732	-1	gene		727059	0	P03959							110.73090803705458	81400.40652238361
b4513	728732	728821	-1	gene		728732	0	P36937							110.73090803705458	81511.13743042067
PM00044	728822	728849	-1	promoter	[b4513, b0696, b0697, b0698]	728822	0								10.0	81621.86833845773
b0699	729134	729340	1	gene		729134	0	P0AAU2							110.73090803705458	81631.86833845773
b0700	729583	733776	1	gene		729583	0	P16918							110.73090803705458	81742.59924649479
b0702	733776	734102	1	gene		733776	0	P0AAU5							110.73090803705458	81853.33015453185
b0703	734133	735653	1	gene		734133	0								110.73090803705458	81964.06106256892
b0704	735650	736219	1	gene		735653	0	P28915							110.73090803705458	82074.79197060598
b4514	736445	736684	1	gene		736445	0								110.73090803705458	82185.52287864304
b0705	736825	737961	1	gene		736825	0	P75741							110.73090803705458	82296.2537866801
b0706	738092	738853	1	gene		738092	0	P28916							110.73090803705458	82406.98469471716
PM0-10204	738920	739000	1	promoter	[b0708, b0707]	738920	0								10.0	82517.71560275422
b0707	739001	739510	1	gene		739001	0	P24252							110.73090803705458	82527.71560275422
PM446	739421	739506	1	promoter	[b0708]	739510	1								10.0	82638.44651079128
b0708	739507	740925	1	gene		739510	0	P00914							110.73090803705458	82648.44651079128
b0709	741075	742556	-1	gene		741075	0	P75742							110.73090803705458	82759.17741882835
PM0-8841	742619	742826	1	promoter	[b0714, b0713, b0712, b0711, b0710]	742619	0								10.0	82869.9083268654
PM0-8842	742798	742826	1	promoter	[b0713, b0714, b0712, b0711, b0710]	742826	0								10.0	82879.9083268654
b0710	742827	743570	1	gene		742827	0	P0AFP6							110.73090803705458	82889.9083268654
b0711	743593	744249	1	gene		743593	0	P0AAV4							110.73090803705458	83000.63923490247
b0712	744243	745175	1	gene		744249	0	P75745							110.73090803705458	83111.37014293953
b0713	745165	745899	1	gene		745175	0	P75746							110.73090803705458	83222.10105097659
b0714	745935	746726	1	gene		745935	0	P50465							110.73090803705458	83332.83195901365
b0715	746723	747769	-1	gene		746726	0	P75747							110.73090803705458	83443.56286705071
b0716	747921	748982	-1	gene		747921	0	P75748							110.73090803705458	83554.29377508778
b0717	748979	749707	-1	gene		748982	0	P75749							110.73090803705458	83665.02468312484
b0718	749722	752169	-1	gene		749722	0	P75750							110.73090803705458	83775.7555911619
b0719	752229	752795	-1	gene		752229	0	P37909							110.73090803705458	83886.48649919896
b0720	753185	754468	-1	gene		753185	0	P0ABH7	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	gltA	Cytoplasm	0.7624893942574272	0.7703153882388473	0.7830960843582775	110.73090803705458	83997.21740723602
PM00148	754469	754767	-1	promoter	[b0720]	754469	0								10.0	84107.94831527308
PM00143	754958	755176	1	promoter	[b0721, b0722, b0723, b0724, b0726, b0727, b0728, b0729]	754958	0								10.0	84117.94831527308
b0721	755177	755566	1	gene		755177	0	P69054	Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli (strain K12) GN=sdhC PE=1 SV=1	sdhC	Cell inner membrane	0.022839292330788605	0.019841898692160468	0.02038342764407047	110.73090803705458	84127.94831527308
PM00350	755404	755559	1	promoter	[b0724, b0723, b0722]	755566	1								10.0	84238.67922331014
b0722	755560	755907	1	gene		755566	0	P0AC44	Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1	sdhD	Cell inner membrane	0.0005178033169837237	0.0008098546170878839	0.0006261186393424334	110.73090803705458	84248.67922331014
b0723	755907	757673	1	gene		755907	0	P0AC41	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	sdhA	Cell inner membrane	0.22257706333818622	0.22280807122052476	0.21903939172873454	110.73090803705458	84359.4101313472
b0724	757689	758405	1	gene		757689	0	P07014	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	sdhB	Cell inner membrane	0.1149735265181284	0.1101596032632339	0.10784712351229409	110.73090803705458	84470.14103938427
PM00144	758586	758705	1	promoter	[b0726, b0727, b0728, b0729]	758586	0								10.0	84580.87194742133
b0726	758706	761507	1	gene		758706	0	P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	sucA	Cytoplasm	0.2973676449449738	0.31063720627178887	0.29133503415985	110.73090803705458	84590.87194742133
b0727	761522	762739	1	gene		761522	0								110.73090803705458	84701.60285545839
b0728	763014	764180	1	gene		763014	0	P0A836							110.73090803705458	84812.33376349545
b0729	764180	765049	1	gene		764180	0	P0AGE9							110.73090803705458	84923.06467153251
b0730	765153	765875	-1	gene		765153	0	P13669							110.73090803705458	85033.79557956957
PM0-4722	765811	765983	1	promoter	[b0732, b0731]	765875	0								10.0	85144.52648760664
PM00558	765876	765926	-1	promoter	[b0730]	765983	1								10.0	85154.52648760664
b0731	765984	767960	1	gene		765984	0	P54745							110.73090803705458	85164.52648760664
b0732	767978	770611	1	gene		767978	0	P54746							110.73090803705458	85275.2573956437
PM00141	771170	771457	1	promoter	[b0733, b0734]	771170	0								10.0	85385.98830368076
PM0-3341	771202	771457	1	promoter	[b0734, b0733]	771457	0								10.0	85395.98830368076
b0733	771458	773026	1	gene		771458	0	P0ABJ9	Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1	cydA	Cell inner membrane	0.03325656793684443	0.03560089128531798	0.03303785464150692	110.73090803705458	85405.98830368076
b0734	773042	774181	1	gene		773042	0	P0ABK2	Cytochrome d ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cydB PE=1 SV=1	cydB	Cell inner membrane	0.0033164705391603823	0.003002515388793811	0.003004254217283287	110.73090803705458	85516.71921171782
b4515	774196	774309	1	gene		774196	0	P56100							110.73090803705458	85627.45011975488
b0735	774309	774602	1	gene		774309	0	P0AAV0							110.73090803705458	85738.18102779194
b0736	774752	775156	1	gene		774752	0	P0A8Z3							110.73090803705458	85848.911935829
b0737	775153	775845	1	gene		775156	0	P0ABU9	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	tolQ	Cell inner membrane	0.01145173550321535	0.011360541278589893	0.010679244510166472	110.73090803705458	85959.64284386607
b0738	775849	776277	1	gene		775849	0	P0ABV6	Protein tolR OS=Escherichia coli (strain K12) GN=tolR PE=1 SV=1	tolR	Cell inner membrane	0.004432059888904789	0.0042771059233643605	0.004844032594572708	110.73090803705458	86070.37375190313
b0739	776342	777607	1	gene		776342	0	P19934	Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1	tolA	Cell inner membrane	0.003182641825930222	0.0055187725231234845	0.004758425642070255	110.73090803705458	86181.10465994019
b0740	777740	779032	1	gene		777740	0	P0A855	Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1	tolB	Periplasm	0.12882797350259959	0.1273705563319508	0.13410487814428798	110.73090803705458	86291.83556797725
b0741	779067	779588	1	gene		779067	0	P0A912	Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1	pal	Cell outer membrane	0.5690610451901471	0.5815431658168112	0.5541115679889274	110.73090803705458	86402.56647601431
b0742	779598	780389	1	gene		779598	0	P45955							110.73090803705458	86513.29738405137
PM00647	780514	780553	1	promoter	[b0743, b0744, b0745]	780514	0								10.0	86624.02829208843
b0743	780554	780629	1	gene		780554	0								110.73090803705458	86634.02829208843
b0744	780765	780840	1	gene		780765	0								110.73090803705458	86744.7592001255
b0745	780843	780918	1	gene		780843	0								110.73090803705458	86855.49010816256
b0746	781068	781143	1	gene		781068	0								110.73090803705458	86966.22101619962
b0747	781147	781222	1	gene		781147	0								110.73090803705458	87076.95192423668
b0748	781369	781444	1	gene		781369	0								110.73090803705458	87187.68283227374
b0749	781577	781652	1	gene		781577	0								110.73090803705458	87298.4137403108
PM0-9995	782061	782084	1	promoter	[b0751, b0750]	782061	0								10.0	87409.14464834786
b0750	782085	783128	1	gene		782085	0	P11458	Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3	nadA	Cytoplasm	0.021915819684800292	0.023335459381637967	0.024117396924471	110.73090803705458	87419.14464834786
b0751	783166	783885	1	gene		783166	0	P0AFK2	Nicotinamide riboside transporter pnuC OS=Escherichia coli (strain K12) GN=pnuC PE=1 SV=1	pnuC	Cell inner membrane	0.0022284021339663285	0.0026834185079413677	0.0027384459886221745	110.73090803705458	87529.87555638493
b0752	783882	784823	-1	gene		783885	0	P75757							110.73090803705458	87640.60646442199
b0753	784937	785317	-1	gene		784937	0	P0AAV6							110.73090803705458	87751.33737245905
PM00011	785591	785632	1	promoter	[b0754]	785591	0								10.0	87862.06828049611
b0754	785633	786685	1	gene		785633	0	P0AB91							110.73090803705458	87872.06828049611
b0755	786843	787595	-1	gene		786843	0	P62707							110.73090803705458	87982.79918853317
PM0-10556	787596	787670	-1	promoter	[b0755]	787596	0								10.0	88093.53009657023
b0756	787797	788837	-1	gene		787797	0	P0A9C3	Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1	galM	Cytoplasm	0.08133429255808755	0.07855652042030159	0.0765019044108875	110.73090803705458	88103.53009657023
b0757	788831	789979	-1	gene		788837	0	P0A6T3	Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2	galK	Cytoplasm	0.029654393755564896	0.025366266740552396	0.023929134751834016	110.73090803705458	88214.2610046073
PM0-46330	789980	790463	-1	promoter	[b0757]	789980	0								10.0	88324.99191264436
b0758	789983	791029	-1	gene		790463	0	P09148							110.73090803705458	88334.99191264436
b0759	791039	792055	-1	gene		791039	0	P09147	UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1	galE	Cytoplasm	0.03838115659048194	0.03608904101082318	0.038583985764756204	110.73090803705458	88445.72282068142
PM0-4785	792056	792177	-1	promoter	[b0756, b0757, b0758, b0759]	792056	0								10.0	88556.45372871848
b0760	792316	793788	-1	gene		792316	0	P31060	Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2	modF	Cell inner membrane	0.021046500372858514	0.021847546308673076	0.018651046267447992	110.73090803705458	88566.45372871848
b0761	793856	794644	-1	gene		793856	0	P0A9G8	Transcriptional regulator modE OS=Escherichia coli (strain K12) GN=modE PE=1 SV=1	modE	Cytoplasm	0.006329989753291339	0.006450918363752866	0.006155096628589641	110.73090803705458	88677.18463675554
PM0-46235	794751	794772	1	promoter	[b0762]	794751	0								10.0	88787.9155447926
b0762	794773	794922	1	gene		794773	0	P0AAW9							110.73090803705458	88797.9155447926
PM0-9375	794995	795088	1	promoter	[b0765, b0764, b0763]	794995	0								10.0	88908.64645282966
PM521	795062	795088	1	promoter	[b0763, b0764, b0765]	795088	0								10.0	88918.64645282966
b0763	795089	795862	1	gene		795089	0	P37329	Molybdate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=modA PE=1 SV=1	modA	Periplasm	0.03433412942199096	0.03177654998626017	0.0373034769681568	110.73090803705458	88928.64645282966
b0764	795862	796551	1	gene		795862	0	P0AF01							110.73090803705458	89039.37736086673
b0765	796554	797612	1	gene		796554	0	P09833	Molybdenum import ATP-binding protein ModC OS=Escherichia coli (strain K12) GN=modC PE=1 SV=4	modC	Cell inner membrane	0.0003338516888873621	0.0005326308544764604	0.00041700602551845604	110.73090803705458	89150.10826890379
b0766	797613	798431	-1	gene		797613	0	P21829							110.73090803705458	89260.83917694085
b0767	798586	799581	1	gene		798586	0	P52697							110.73090803705458	89371.57008497791
b0768	799622	800575	-1	gene		799622	0	P52696							110.73090803705458	89482.30099301497
b0769	800759	801811	1	gene		800759	0	P0AAV8							110.73090803705458	89593.03190105203
b0770	801887	803320	1	gene		801887	0	P75763							110.73090803705458	89703.7628090891
b0771	803503	805764	1	gene		803503	0	P75764							110.73090803705458	89814.49371712616
b0772	805998	807281	-1	gene		805998	0	P46130	Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2	ybhC	Cell outer membrane	0.09600751033514436	0.11137929030236415	0.10527462178345086	110.73090803705458	89925.22462516322
PM0-9874	807282	807321	-1	promoter	[b0772]	807282	0								10.0	90035.95553320028
b0773	807433	807909	-1	gene		807433	0	P12994	UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2	ybhB	Cytoplasm	0.008995932320292612	0.008429505734871454	0.008947888310962111	110.73090803705458	90045.95553320028
b0774	807968	809257	-1	gene		807968	0	P12995	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2	bioA	Cytoplasm	0.010592547998880732	0.010883728002073085	0.011327936437170465	110.73090803705458	90156.68644123734
PM00015	809258	809292	-1	promoter	[b0774]	809258	0								10.0	90267.4173492744
PM00016	809302	809343	1	promoter	[b0775, b0776, b0777, b0778]	809302	0								10.0	90277.4173492744
b0775	809344	810384	1	gene		809344	0	P12996							110.73090803705458	90287.4173492744
b0776	810381	811535	1	gene		810384	0	P12998							110.73090803705458	90398.14825731146
b0777	811522	812277	1	gene		811535	0	P12999							110.73090803705458	90508.87916534852
b0778	812270	812947	1	gene		812277	0	P13000	Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3	bioD	Cytoplasm	0.01762354914289515	0.01761592267779125	0.0203009791554708	110.73090803705458	90619.61007338559
PM00351	813152	813525	1	promoter	[b0779]	813152	0								10.0	90730.34098142265
b0779	813526	815547	1	gene		813526	0	P0A8F8	UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2	uvrB	Cytoplasm	0.016951446915105174	0.01899317851350835	0.015676403896225703	110.73090803705458	90740.34098142265
b0780	815739	816647	-1	gene		815739	0	P75767	UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1	ybhK	Cytoplasm	4.591655779049255e-07	0.00021657373915866197	0.0002467662807118782	110.73090803705458	90851.07188945971
PM0-1283	816827	817043	1	promoter	[b0781, b0782, b0783, b0784, b0785]	816827	0								10.0	90961.80279749677
PM0-1284	816914	817043	1	promoter	[b0785, b0784, b0783, b0782, b0781]	817043	0								10.0	90971.80279749677
b0781	817044	818033	1	gene		817044	0	P30745							110.73090803705458	90981.80279749677
PM0-7602	817977	818054	1	promoter	[b0785, b0784, b0783, b0782]	818033	0								10.0	91092.53370553383
b0782	818055	818567	1	gene		818055	0	P0AEZ9							110.73090803705458	91102.53370553383
b0783	818570	819055	1	gene		818570	0	P0A738							110.73090803705458	91213.2646135709
b0784	819048	819293	1	gene		819055	0								110.73090803705458	91323.99552160795
b0785	819295	819747	1	gene		819295	0	P30749							110.73090803705458	91434.72642964502
PM0-46349	819858	819883	1	promoter	[b0786]	819858	0								10.0	91545.45733768208
b0786	819884	820588	1	gene		819884	0	P0AAC4	Inner membrane protein YbhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1	ybhL	Cell inner membrane	0.0028062320047278484	0.002749566346483913	0.0028947258907482173	110.73090803705458	91555.45733768208
b0787	820793	821506	1	gene		820793	0	P75769							110.73090803705458	91666.18824571914
b0788	821542	822498	-1	gene		821542	0	P75770							110.73090803705458	91776.9191537562
b0789	822498	823739	-1	gene		822498	0	P0AA84							110.73090803705458	91887.65006179326
b0790	823736	824497	-1	gene		823739	0	P0AAW1							110.73090803705458	91998.38096983032
PM0-9996	824601	824629	1	promoter	[b0791]	824601	0								10.0	92109.11187786738
b0791	824630	825040	1	gene		824630	0	P0AAW5							110.73090803705458	92119.11187786738
b0792	825002	826108	-1	gene		825040	0	P0AFP9							110.73090803705458	92229.84278590445
b0793	826119	827252	-1	gene		826119	0	P0AFQ2							110.73090803705458	92340.57369394151
b0794	827245	828981	-1	gene		827252	0	P0A9U1							110.73090803705458	92451.30460197857
b0795	828974	829972	-1	gene		828981	0	P75777	UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1	ybhG	Periplasm	0.004902414786720994	0.005694578821646306	0.0043988583895240695	110.73090803705458	92562.03551001563
b0796	829972	830643	-1	gene		829972	0	P0ACU0							110.73090803705458	92672.76641805269
PM0-46366	830644	830669	-1	promoter	[b0796, b0795, b0794, b0793, b0792]	830644	0								10.0	92783.49732608975
b0797	830872	832236	1	gene		830872	0	P25888	ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3	rhlE	Cytoplasm	0.002104200773469122	0.0016325400148228001	0.002035120267081267	110.73090803705458	92793.49732608975
b0798	832468	832950	-1	gene		832468	0	P30176							110.73090803705458	92904.22823412681
PM0-6601	833070	833072	1	promoter	[b0800, b0799]	833070	0								10.0	93014.95914216388
b0799	833070	835220	1	gene		833072	0	P27296							110.73090803705458	93024.95914216388
b0800	835248	836210	1	gene		835248	0	P30177							110.73090803705458	93135.69005020094
b0801	836351	837436	1	gene		836351	0	P30178	Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2	ybiC	Cytoplasm	0.10287236050133455	0.108271142339221	0.10542351208853191	110.73090803705458	93246.420958238
b0802	837665	837925	-1	gene		837665	0	P0AAX3	Uncharacterized protein YbiJ OS=Escherichia coli (strain K12) GN=ybiJ PE=3 SV=1	ybiJ	Periplasm	0.001296436246427933	0.0010685006934765815	0.0007851962305862127	110.73090803705458	93357.15186627506
b0803	838190	838456	-1	gene		838190	0	P41039							110.73090803705458	93467.88277431212
PM0-44627	838457	838484	-1	promoter	[b0803]	838457	0								10.0	93578.61368234918
b0804	838530	839207	-1	gene		838530	0	P75779							110.73090803705458	93588.61368234918
b0805	839249	841531	-1	gene		839249	0	P75780	Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1	fiu	Cell outer membrane	0.027224463044042562	0.02747843776588313	0.02779028444008295	110.73090803705458	93699.34459038624
PM0-2701	841532	841648	-1	promoter	[b0805]	841532	0								10.0	93810.0754984233
b0806	841796	842056	-1	gene		841796	0	P0AAX6							110.73090803705458	93820.0754984233
PM0-44629	842057	842153	-1	promoter	[b0806]	842057	0								10.0	93930.80640646037
b0807	842332	843258	1	gene		842332	0	P75782	Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2	rlmF	Cytoplasm	0.0016822827379382775	0.0012785035536214213	0.0008640979842721703	110.73090803705458	93940.80640646037
b0808	843255	845480	-1	gene		843258	0	P75783							110.73090803705458	94051.53731449743
b0809	845741	846463	-1	gene		845741	0	P10346	Glutamine transport ATP-binding protein GlnQ OS=Escherichia coli (strain K12) GN=glnQ PE=1 SV=1	glnQ	Cell inner membrane	0.03555161114503631	0.030058726106035834	0.03093357000214216	110.73090803705458	94162.26822253449
b0810	846460	847119	-1	gene		846463	0	P0AEQ6	Glutamine transport system permease protein glnP OS=Escherichia coli (strain K12) GN=glnP PE=1 SV=1	glnP	Cell inner membrane	0.0017563189670407415	0.0013841714258621633	0.0012645744739504556	110.73090803705458	94272.99913057155
PM0-8381	846464	846631	-1	promoter	[b0809]	847119	1								10.0	94383.73003860861
b0811	847258	848004	-1	gene		847258	0	P0AEQ3	Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=glnH PE=1 SV=1	glnH	Periplasm	0.3047657860615697	0.3339982391024642	0.2954387740733312	110.73090803705458	94393.73003860861
PM00352	848005	848198	-1	promoter	[b0809, b0810, b0811]	848005	0								10.0	94504.46094664567
b0812	848408	848911	-1	gene		848408	0	P0ABT2	DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2	dps	Cytoplasm	0.1456016451420062	0.14112730855115654	0.15512256266697205	110.73090803705458	94514.46094664567
PM00243	848912	848950	-1	promoter	[b0812]	848912	0								10.0	94625.19185468274
b0813	849210	850097	-1	gene		849210	0	P0AA67							110.73090803705458	94635.19185468274
PM0-10222	850209	850449	1	promoter	[b0814]	850209	0								10.0	94745.9227627198
